Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",156,672,539,154,82,26,1,45,116,117,120,25,165,7,5,1,,9,2,0.286503,0.179045,0.245498,0.729313,0.419265,0.59066,0.417094,1.00992,0.304157,3.85508,0.327059,-1.10579,-0.392113,136.166,56.7636,172.992,-1.4979,2.53392,56.31435716152191,-5.066081762313843,7.60974,999,,,,,,,1220,7.82051282,1220,7.82051282,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",157,679,616,178,105,37,7,28,103,95,49,6,117,7,6,1,,33,10,0.288241,0.0720544,0.17228,0.41824,0.344447,0.509868,0.361286,0.854315,0.221627,6.97161,0.313294,1.69436,1.59786,106.818,26.5891,130.404,3.29223,7.02273,27.623802661895752,14.297733306884766,6.68015,999,,,,,,,993.9,6.330573248,993.9,6.330573248,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Cal Raleigh","SEA",159,637,550,127,63,23,0,40,88,102,78,11,171,5,4,1,,8,2,0.230514,0.122036,0.268219,0.454989,0.329746,0.49364,0.347454,0.823386,0.263126,3.25199,0.252088,-1.31604,-0.308865,93.1154,17.8017,130.423,-1.62491,4.7388,21.23058533668518,11.888797760009766,6.36846,999,,,,,,,862.5,5.424528301,862.5,5.424528301,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Shohei Ohtani","LAD",157,679,575,162,81,28,5,48,129,119,94,16,164,5,4,2,,26,6,0.282026,0.137747,0.241232,0.571014,0.384612,0.598688,0.407349,0.9833,0.316663,6.78794,0.311218,0.0704774,1.74702,132.212,51.9828,165.142,1.8175,0,54.2406188249588,-16.975000381469727,6.12403,999,,,,,,,1222.7,7.787898089,1222.7,7.787898089,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",159,686,548,149,86,24,1,38,114,102,128,9,120,4,4,2,,23,5,0.272243,0.186787,0.175438,1.06469,0.410561,0.52853,0.400198,0.939091,0.256288,4.79526,0.282345,-0.570734,1.0859,129.592,48.5358,163.035,0.515162,-7.26165,51.76570397615433,-14.811651229858398,6.11598,999,,,,,,,1144.6,7.198742138,1144.6,7.198742138,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Gunnar Henderson","BAL",156,672,591,161,95,33,5,29,99,94,70,4,140,6,4,1,,22,5,0.273326,0.104559,0.208996,0.500292,0.354175,0.490171,0.361546,0.844346,0.216845,6.11708,0.311577,1.2606,1.18147,105.859,26.4566,135.044,2.44207,-2.11619,30.197723865509033,5.08380913734436,5.97614,999,,,,,,,963.2,6.174358974,963.2,6.174358974,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Julio Rodríguez","SEA",159,686,625,169,105,30,2,31,95,101,48,5,151,9,4,1,,26,7,0.270441,0.0703345,0.219448,0.320507,0.330092,0.476704,0.344828,0.806796,0.206263,5.57302,0.308102,0.500728,1.54069,98.7528,17.6966,128.615,2.04142,6.53717,25.177217483520508,8.787170886993408,5.89068,999,,,,,,,912,5.735849056,912,5.735849056,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Francisco Lindor","NYM",159,686,607,159,99,31,1,28,102,85,60,2,125,12,5,2,,24,5,0.261231,0.0880548,0.181948,0.483954,0.337015,0.452415,0.34145,0.78943,0.191184,5.30148,0.284558,-0.483063,1.67888,96.8711,15.8149,122.79,1.19582,3.82205,19.72550868988037,10.67205286026001,5.44517,999,,,,,,,889.8,5.596226415,889.8,5.596226415,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Fernando Tatis Jr.","SDP",156,672,585,158,96,30,2,30,106,84,75,4,131,6,3,2,,26,5,0.269898,0.111953,0.194543,0.575468,0.357663,0.481222,0.360779,0.838885,0.211325,5.70831,0.299147,0.540472,1.80059,105.44,26.0382,136.469,2.34107,6.76039,31.387168884277344,-0.639610767364502,5.43332,999,,,,,,,958.6,6.144871794,958.6,6.144871794,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ronald Acuña Jr.","ATL",151,651,548,157,97,26,2,31,115,84,92,4,133,7,3,2,,26,6,0.285671,0.140824,0.204131,0.68987,0.393347,0.511468,0.389112,0.904815,0.225797,5.72115,0.323918,1.1668,1.54985,117.12,40.1996,151.668,2.71666,-4.03589,42.58223295211792,-11.91088581085205,5.35404,999,,,,,,,1039,6.880794701,1039,6.880794701,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
