Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",149,644,517,147,78,25,1,43,111,111,115,24,158,6,5,1,,9,2,0.285276,0.179145,0.245869,0.72862,0.418351,0.588306,0.415864,1.00666,0.30303,3.85146,0.325672,-1.05884,-0.374886,129.849,53.7554,172.145,-1.43372,2.62933,53.32657873630524,-4.57066798210144,7.25614,1.9199999570846558,,,,,,,1163.1,7.806040268,1163.1,7.806040268,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",157,679,616,177,104,37,7,29,104,95,49,6,117,7,6,1,,33,10,0.287789,0.0720544,0.172461,0.417801,0.344037,0.512081,0.361889,0.856117,0.224291,6.97417,0.311733,1.69436,1.59242,107.15,26.9212,130.819,3.28678,7.02273,27.950430154800415,14.297733306884766,6.71357,2.950000047683716,,,,,,,997.7,6.35477707,997.7,6.35477707,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Cal Raleigh","SEA",159,637,550,127,63,23,0,41,88,103,78,11,171,5,4,1,,8,2,0.230453,0.122086,0.268418,0.454838,0.329732,0.493628,0.347442,0.82336,0.263175,3.26146,0.25208,-1.31604,-0.308793,93.1094,17.7957,130.415,-1.62484,4.7388,21.22467589378357,11.888797760009766,6.36786,17.889999389648438,,,,,,,871.9,5.483647798,871.9,5.483647798,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Shohei Ohtani","LAD",157,679,575,162,81,28,5,48,129,119,94,16,164,5,4,2,,26,6,0.282102,0.137747,0.241232,0.571014,0.384677,0.598911,0.407457,0.983588,0.316809,6.78445,0.31129,0.0704774,1.74707,132.271,52.0421,165.215,1.81755,0,54.29996454715729,-16.975000381469727,6.1301,1.2799999713897705,,,,,,,1222.7,7.787898089,1222.7,7.787898089,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",159,686,548,149,86,24,1,38,114,102,128,9,120,4,4,2,,23,5,0.272195,0.186837,0.175546,1.06432,0.410559,0.528383,0.400149,0.938943,0.256188,4.79233,0.282395,-0.570734,1.0859,129.565,48.5086,163.001,0.515168,-7.17124,51.73856770992279,-14.72123908996582,6.12245,4.639999866485596,,,,,,,1144.6,7.198742138,1144.6,7.198742138,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Gunnar Henderson","BAL",156,672,590,161,95,33,5,29,102,89,70,4,141,6,4,1,,23,5,0.273178,0.104659,0.209134,0.50044,0.354307,0.490031,0.361621,0.844338,0.216853,6.25138,0.311787,1.29987,1.33549,105.9,26.4976,135.095,2.63536,-2.11649,30.432005882263184,5.083509206771851,6.00008,12.199999809265137,,,,,,,966.1,6.192948717,966.1,6.192948717,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Julio Rodríguez","SEA",159,686,625,169,105,30,2,32,96,101,48,5,151,9,4,1,,26,7,0.27049,0.0703345,0.219584,0.320309,0.330137,0.476889,0.344915,0.807027,0.2064,5.58276,0.308201,0.500728,1.54073,98.8012,17.745,128.674,2.04146,6.53717,25.225626707077026,8.787170886993408,5.89564,9.699999809265137,,,,,,,921.4,5.794968553,921.4,5.794968553,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Fernando Tatis Jr.","SDP",156,672,586,158,96,30,2,30,102,90,75,4,131,6,3,1,,25,6,0.269937,0.112003,0.194949,0.574527,0.357587,0.481684,0.360868,0.839271,0.211747,5.55462,0.299179,0.518142,1.5821,105.489,26.0867,136.53,2.10024,6.7605,31.194809198379517,-0.6394953727722168,5.41365,14.3100004196167,,,,,,,952.9,6.108333333,952.9,6.108333333,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Ronald Acuña Jr.","ATL",151,651,548,157,97,26,2,31,115,84,92,4,133,7,3,2,,26,6,0.285805,0.140824,0.204131,0.68987,0.393459,0.5118,0.389276,0.905259,0.225995,5.71116,0.324051,1.1668,1.55,117.207,40.2865,151.781,2.71681,-4.10219,42.669209480285645,-11.877188682556152,5.36639,5.820000171661377,,,,,,,1039,6.880794701,1039,6.880794701,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Francisco Lindor","NYM",146,630,558,146,91,28,1,26,94,78,55,2,115,11,5,2,,22,4,0.26119,0.0880547,0.182081,0.483602,0.336979,0.452375,0.341417,0.789354,0.191184,5.29808,0.28458,-0.439025,1.54149,88.9466,14.5072,122.768,1.10246,3.50202,18.102859258651733,9.752018928527832,4.9944,26.360000610351562,,,,,,,819.5,5.613013698,819.5,5.613013698,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Mookie Betts","LAD",151,651,567,155,97,31,3,24,95,90,73,3,77,4,5,1,,9,2,0.273971,0.111962,0.117696,0.951283,0.357956,0.467866,0.356008,0.825822,0.193896,4.45685,0.277641,-0.226291,-0.239642,99.6235,22.7028,129.971,-0.465933,-3.05484,22.659034579992294,3.920161008834839,4.93536,57.2599983215332,,,,,,,876.1,5.801986754,876.1,5.801986754,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Kyle Tucker","LAD",151,651,555,149,86,28,2,33,101,99,88,6,95,3,3,2,,22,4,0.268396,0.134808,0.146649,0.919252,0.369711,0.505094,0.373582,0.874805,0.236698,5.37164,0.269761,0.0249932,1.66778,108.912,31.9914,142.01,1.69277,-0.575392,34.10629105567932,-7.550392031669617,4.93298,13.390000343322754,,,,,,,985.8,6.528476821,985.8,6.528476821,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
