Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",114,493,395,111,57,19,1,34,85,87,89,17,126,5,3,0,,8,3,0.282151,0.181435,0.255665,0.709661,0.418024,0.594303,0.41869,1.01233,0.312152,3.96817,0.324716,-0.752023,-0.337271,100.451,42.2476,174.092,-1.08929,1.86675,41.92695343494415,-4.003624081611633,5.61561,1.850000023841858,,,,,,,895.8,7.857894736,895.8,7.857894736,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",117,507,457,133,79,29,5,20,75,68,41,5,86,4,3,1,,26,7,0.290544,0.0815081,0.169282,0.481492,0.352409,0.505421,0.364104,0.85783,0.214877,6.60699,0.317943,1.26106,1.36124,80.9441,21.0199,132.345,2.62229,6.6338,21.955974102020264,12.067591667175293,5.26792,3.0999999046325684,,,,,,,753.2,6.437606837,753.2,6.437606837,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Juan Soto","NYM",116,501,397,107,62,18,2,26,81,69,96,8,87,3,3,1,,15,4,0.269043,0.192611,0.173349,1.11112,0.412272,0.517519,0.396853,0.929791,0.248476,5.0771,0.281673,-0.414512,0.383021,93.2463,34.0726,160.743,-0.0314909,-4.22665,36.023021161556244,-10.420781135559082,4.32527,4.650000095367432,,,,,,,824.5,7.10775862,824.5,7.10775862,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",118,508,460,125,80,22,1,22,69,72,38,3,112,7,3,0,,17,5,0.272149,0.0749329,0.220977,0.339099,0.335035,0.470241,0.345015,0.805276,0.198092,5.29468,0.313795,0.331417,0.598085,73.2274,13.1858,128.743,0.929502,3.15807,18.14427751302719,4.824736952781677,4.1404,9.489999771118164,,,,,,,669.6,5.674576271,669.6,5.674576271,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Cal Raleigh","SEA",114,457,394,86,44,16,0,26,60,68,56,6,127,4,3,1,,5,2,0.218396,0.121981,0.277278,0.439922,0.318553,0.459091,0.331236,0.777644,0.240695,3.20118,0.244724,-0.9487,-0.331498,60.8081,6.75312,119.252,-1.2802,3.56385,9.100192189216614,8.804590225219727,3.96848,18.729999542236328,,,,,,,562.3,4.93245614,562.3,4.93245614,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Elly De La Cruz","CIN",116,502,446,119,71,24,4,20,73,70,50,4,132,2,3,1,,30,8,0.266501,0.0989564,0.26239,0.377135,0.341031,0.472796,0.348129,0.813827,0.206295,7.01701,0.332011,1.27046,1.76424,73.5996,14.2932,119.185,3.0347,1.56803,14.447394609451294,6.759081244468689,3.87936,8.449999809265137,,,,,,,691.4,5.960344827,691.4,5.960344827,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Gunnar Henderson","BAL",115,498,439,114,68,23,4,20,72,62,50,2,112,4,3,1,,16,4,0.259825,0.0999236,0.225539,0.443043,0.338894,0.465314,0.345959,0.804207,0.205488,6.21452,0.303363,1.02779,0.917136,72.1143,13.2981,124.306,1.94493,-1.36668,16.205225825309753,3.9666523933410645,3.81768,12.510000228881836,,,,,,,658.1,5.722608695,658.1,5.722608695,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Shohei Ohtani","LAD",116,502,420,114,60,20,3,31,90,78,72,14,122,4,3,1,,18,4,0.270621,0.144328,0.242902,0.594183,0.380943,0.553541,0.389358,0.934484,0.282919,6.41134,0.306592,0.0548817,1.21661,90.401,31.0946,152.817,1.27149,0,32.69152045249939,-12.548148155212402,3.77059,1.2699999809265137,,,,,,,835.9,7.206034482,835.9,7.206034482,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Yordan Alvarez","HOU",106,456,387,115,65,23,1,25,69,70,59,11,77,7,3,1,,2,1,0.296337,0.129935,0.169203,0.767921,0.396554,0.55772,0.40046,0.954274,0.261383,3.0326,0.310809,-0.609644,-0.651173,86.2959,32.381,160.981,-1.26082,-0.0950894,31.53482234477997,-10.465459264814854,3.76335,33.38999938964844,,,,,,,763.4,7.201886792,763.4,7.201886792,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Fernando Tatis Jr.","SDP",118,511,444,118,75,22,2,20,73,64,58,3,104,5,4,1,,21,5,0.266271,0.112888,0.203992,0.553392,0.353741,0.456521,0.349872,0.810261,0.190249,5.50515,0.304114,0.388363,1.08003,75.7046,15.2851,128.997,1.46839,5.2289,19.042320609092712,0.2773556709289551,3.7184,14.010000228881836,,,,,,,694.9,5.88898305,694.9,5.88898305,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
