"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","%D","ADP","Ros","+/-","H/AB","R","HR","RBI","SO","SB","OBP","TB","GP"
"*05184*","Vinnie Pasquantino","KC","1B","89","FA","28","","80.75","100","73","99%","0%","161/600","74","33","110","99","1",".332","297","155"
"*040b5*","Randy Arozarena","SEA","LF","110","FA","30","","78.53","100","52","98%","0%","136/591","97","23","76","171","30",".338","237","155"
"*025dn*","Christian Yelich","MIL","LF","128","FA","34","","76.67","100","79.7","98%","0%","148/554","90","25","94","153","17",".355","249","142"
"*04pr1*","Steven Kwan","CLE","LF","138","FA","28","","75.81","100","137.4","99%","0%","171/617","89","10","54","58","21",".346","235","154"
"*01spl*","Jurickson Profar","ATL","LF","140","FA","33","","75.62","100","141.9","96%","0%","140/545","87","22","75","105","14",".356","235","146"
"*02bq2*","Brandon Nimmo","TEX","LF","146","FA","32","","74.89","100","105","98%","0%","145/578","89","25","91","166","14",".335","251","154"
"*04pkr*","Nico Hoerner","CHC","2B","148","FA","28","","74.86","100","90.3","99%","0%","166/598","84","7","55","65","28",".335","223","152"
"*024m0*","Jose Altuve","HOU","2B,LF","171","FA","35","","73.11","100","98.8","98%","0%","155/579","85","21","70","105","11",".333","247","144"
"*03atq*","Willy Adames","SF","SS","172","FA","30","NYY Wed 8:05PM","72.99","100","92.3","98%","0%","132/578","85","28","89","170","12",".320","245","154"
"*02mw3*","Christian Walker","HOU","1B","184","FA","34","","72.3","100","168.8","94%","0%","142/580","80","31","95","163","2",".318","265","154"
"*065ji*","Jakob Marsee","MIA","LF,CF","188","FA","24","","72.1","100","130.7","98%","0%","128/537","74","13","59","139","41",".354","203","147"
"*03ae8*","Dansby Swanson","CHC","SS","198","FA","32","","71.44","100","134.9","95%","0%","141/578","82","23","74","160","19",".309","241","152"
"*05y4b*","Caleb Durbin","BOS","2B,3B","206","FA","25","","71.11","100","238.9","92%","+1%","128/512","70","13","60","58","22",".338","199","142"
"*03pje*","Taylor Ward","BAL","LF","210","FA","32","","71.02","100","115.1","98%","0%","138/578","81","27","88","155","5",".326","252","154"
"*03nmw*","Ian Happ","CHC","LF","213","FA","31","","70.84","100","113.7","97%","0%","141/573","86","24","81","158","7",".348","248","152"
"*03fi0*","Ozzie Albies","ATL","2B","215","FA","29","","70.58","100","142.8","98%","0%","139/556","73","18","77","90","12",".313","224","147"
"*01u75*","Salvador Perez","KC","C,1B","220","FA","35","","70.3","100","131.9","97%","0%","143/553","54","29","94","131","0",".309","259","144"
"*03mew*","Luis Arraez","SF","1B,2B","222","FA","28","NYY Wed 8:05PM","70.21","100","282.4","91%","0%","190/632","71","6","57","25","7",".335","246","154"
"*02xic*","Teoscar Hernandez","LAD","RF","226","FA","33","","69.87","100","117.7","97%","0%","143/562","76","28","99","196","7",".306","261","146"
"*03m6o*","Yandy Diaz","TB","1B","231","FA","34","","69.33","100","140.2","97%","0%","161/571","74","19","76","92","2",".350","253","146"
"*05zh9*","Luke Keaschall","MIN","2B","234","FA","23","","69.28","100","113.3","99%","0%","134/505","66","13","62","95","24",".366","204","138"
"*05jr0*","Alec Burleson","STL","1B,LF,RF","236","FA","27","","69.17","100","212.5","94%","+1%","148/532","63","20","75","86","7",".332","235","135"
"*03zlh*","Oneil Cruz","PIT","CF","237","FA","27","","69.12","100","78","99%","0%","118/515","68","21","68","174","32",".320","212","140"
"*04ru5*","Andy Pages","LAD","LF,CF,RF","245","FA","25","","68.81","100","132","98%","0%","146/558","80","22","79","162","13",".318","242","148"
"*0524l*","Yainer Diaz","HOU","C","246","FA","27","","68.8","99","275.8","96%","-1%","155/555","63","20","77","95","1",".308","246","143"
"*05gsi*","Ceddanne Rafaela","BOS","2B,CF","248","FA","25","","68.73","100","155.2","98%","0%","137/551","79","17","68","130","20",".290","228","155"
"*04ee8*","Heliot Ramos","SF","LF","253","FA","26","NYY Wed 8:05PM","68.28","100","175.2","96%","0%","157/620","80","23","78","170","6",".325","258","156"
"*04tjl*","Otto Lopez","MIA","2B,SS","256","FA","27","","68.14","99","317.6","88%","0%","145/552","69","12","69","82","16",".315","208","147"
"*0622w*","Chandler Simpson","TB","LF,CF","257","FA","25","","68.11","100","162.1","96%","0%","149/515","65","0","31","48","59",".331","180","126"
"*0622t*","Jacob Wilson","ATH","SS","259","FA","23","","67.97","100","195.4","99%","0%","163/537","71","10","64","45","5",".351","229","139"
"*025gb*","Xander Bogaerts","SD","SS","261","FA","33","","67.83","100","227.8","91%","0%","144/540","71","14","58","104","20",".331","217","142"
"*04p10*","Bryson Stott","PHI","2B,SS","262","FA","28","","67.78","100","160.5","96%","0%","134/526","67","12","63","106","26",".326","199","147"
"*0414g*","Luis Garcia Jr.","WSH","2B","267","FA","25","","67.32","100","241.1","89%","0%","136/505","65","16","67","87","16",".310","215","139"
"*03e5m*","Bryan Reynolds","PIT","RF","269","FA","31","","67.24","100","166.2","95%","0%","158/603","71","21","79","153","4",".334","261","154"
"*05rb1*","Sal Frelick","MIL","CF,RF","277","FA","25","","66.72","100","200.7","95%","0%","141/529","77","8","55","85","20",".337","193","141"
