"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","%D","ADP","Ros","+/-"
"*05wru*","Paul Skenes","PIT","SP","1","Unks","23","","100","100","10.4","100%","0%"
"*01ub6*","Jose Ramirez","CLE","3B","2","Skrey","33","","100","100","5.1","99%","0%"
"*04ptt*","Tarik Skubal","DET","SP","3","Boofers","29","","99.36","100","7.3","100%","0%"
"*0317q*","Griffin Jax","TB","RP","4","JDM","31","","97.64","94","311.9","89%","0%"
"*04lgp*","Bobby Witt Jr.","KC","SS","5","wes11","25","","95.82","100","4.1","100%","0%"
"*04eor*","Cade Smith","CLE","RP","6","DGreasy","26","","94.63","100","100","99%","0%"
"*052c8*","Cristopher Sanchez","PHI","SP","7","Rut","29","","94.37","100","31.1","99%","0%"
"*03ynj*","Juan Soto","NYM","LF,RF,UT","8","wes11","27","","93.11","100","3.4","99%","0%"
"*01uca*","Chris Sale","ATL","SP","9","BigJoe","36","","93.1","100","42.9","99%","0%"
"*06alt*","Shohei Ohtani-H","LAD","UT","10","BigJoe","31","","93.09","100","1.9","100%","0%"
"*05ucd*","Mason Miller","SD","RP","11","Swagga","27","","92.76","100","79.9","100%","0%"
"*05r8n*","Yoshinobu Yamamoto","LAD","SP","12","DertyDer","27","","92.31","100","24.7","100%","0%"
"*03pir*","Kyle Tucker","LAD","RF","13","Beefs","29","","91.67","100","14.9","99%","0%"
"*05ajh*","Garrett Crochet","BOS","SP","14","JDM","26","","91.55","100","11.4","100%","0%"
"*06als*","Shohei Ohtani-P","LAD","SP","15","FA","31","","91.44","100","77.7","100%","0%"
"*04tlv*","Bryan Abreu","HOU","RP","16","BigJoe","28","","91.08","95","326.5","89%","0%"
"*02bqr*","Blake Snell","LAD","SP","17","BigJoe","33","","90.93","100","186.4","98%","0%"
"*02my5*","Edwin Diaz","LAD","RP","18","Ferrante","31","","90.91","100","87","99%","0%"
"*01gya*","Aroldis Chapman","BOS","RP","19","Swagga","38","","90.6","100","135.1","98%","0%"
"*05nso*","Abner Uribe","MIL","RP","20","JDM","25","","90.25","98","385.8","91%","0%"
"*0311c*","Devin Williams","NYM","RP","21","JDM","31","","90.17","100","152.1","98%","0%"
"*02i2j*","Max Fried","NYY","SP","22","DGreasy","32","@SF Wed 8:05PM","89.64","100","48","99%","0%"
"*02z0s*","Aaron Judge","NYY","LF,CF,RF,UT","23","Triz","33","@SF Wed 8:05PM","89.22","100","1.9","100%","0%"
"*04y4e*","Corbin Carroll","ARI","CF,RF,UT","24","JDM","25","","89.08","100","16.1","100%","0%"
"*05r01*","Robert Suarez","ATL","RP","25","Gwon","35","","89","99","288.1","92%","0%"
"*05y62*","Bryan Woo","SEA","SP","26","Beefs","26","","88.48","100","41.9","99%","0%"
"*04fhb*","Julio Rodriguez","SEA","CF","27","Gwon","25","","88.45","100","11.1","100%","0%"
"*04n0m*","Logan Gilbert","SEA","SP","28","Unks","28","","87.79","100","42.5","99%","0%"
"*04apj*","Jhoan Duran","PHI","RP","29","wes11","28","","87.62","100","96.3","99%","0%"
"*0403o*","Andres Munoz","SEA","RP","30","Boofers","27","","87.56","100","89.3","99%","0%"
"*05udp*","Elly De La Cruz","CIN","SS","31","Boofers","24","","87.44","100","11","100%","0%"
"*04aqc*","David Bednar","NYY","RP","32","Unks","31","@SF Wed 8:05PM","87.39","100","141.5","98%","0%"
"*04my4*","Cal Raleigh","SEA","C","33","DGreasy","29","","87.21","100","14.2","99%","0%"
"*05rb3*","Chase Burns","CIN","SP,RP,P","34","Swagga","23","","87","100","106.2","100%","0%"
"*03zbh*","Fernando Tatis Jr.","SD","RF","35","JDM","27","","86.79","100","15.4","99%","0%"
"*02n96*","Josh Hader","HOU","RP","36","Skrey","31","","86.72","100","207.6","98%","0%"
"*03dbm*","Logan Webb","SF","SP","37","Gwon","29","NYY Wed 8:05PM","86.52","100","45.7","99%","0%"
"*02hjp*","Jacob deGrom","TEX","SP","38","Skrey","37","","86.33","100","55.5","99%","0%"
"*04ehz*","Jeremiah Estrada","SD","RP","39","Ferrante","27","","86.25","66","423.2","72%","0%"
"*04eqa*","Garrett Whitlock","BOS","RP","40","BigJoe","29","","86.08","55","434.6","67%","0%"
"*02611*","Francisco Lindor","NYM","SS","41","DGreasy","32","","85.85","100","34","99%","0%"
"*01sb3*","Zack Wheeler","PHI","SP","42","Gwon","35","","85.82","100","161.1","99%","0%"
"*050w9*","Gunnar Henderson","BAL","SS","43","BShit","24","","85.61","100","18.8","100%","0%"
"*02nax*","Matt Strahm","KC","RP","44","Boofers","34","","85.5","31","457.7","51%","0%"
"*05143*","Hunter Gaddis","CLE","RP","45","Beefs","27","","85.46","27","473","55%","0%"
"*041ma*","Cole Ragans","KC","SP","46","DertyDer","28","","85.38","100","53.8","99%","0%"
"*02bu3*","Brandon Woodruff","MIL","SP","47","JDM","33","","85.17","100","130.5","99%","0%"
"*066n3*","Ryan Walker","SF","RP","48","Diarrhea","30","NYY Wed 8:05PM","84.87","99","293.8","88%","0%"
"*04aea*","Hunter Greene","CIN","SP","49","Swagga","26","","84.59","100","350.3","99%","0%"
"*04q05*","Alex Vesia","LAD","RP","50","Unks","29","","84.33","28","474.8","53%","0%"
"*04em6*","Will Vest","DET","RP","51","Triz","30","","84.14","80","385.6","71%","0%"
"*03aqv*","Raisel Iglesias","ATL","RP","52","DertyDer","36","","84.1","100","184.4","97%","0%"
"*01ut7*","Nathan Eovaldi","TEX","SP","53","Diarrhea","36","","84.05","100","151.2","98%","0%"
"*025it*","Jason Adam","SD","RP","54","DGreasy","34","","84.01","21","484","51%","0%"
"*04eee*","Drew Rasmussen","TB","SP","55","Ferrante","30","","83.78","100","156.4","99%","0%"
"*05m1e*","Jackson Chourio","MIL","LF,CF,RF","56","Gwon","21","","83.77","100","23.7","100%","0%"
"*03wha*","Ronald Acuna Jr.","ATL","RF","57","BigJoe","28","","83.7","100","7.9","100%","0%"
"*04tzu*","Ronny Henriquez","MIA","RP","58","FA","25","","83.55","26","451.9","48%","0%"
