"Standings"
"Rank","Team","W","L","T","Win%","Div","GB","PtsF","PtsA"
"1","Kevin's Magoos","42","25","3",".621","27-15-0","0","43.5","26.5"
"2","Derty's Rolling Crew","40","23","7",".621","29-9-4","0","43.5","26.5"
"3","The Bronx Boofers","38","29","3",".564","24-17-1","4","39.5","30.5"
"4","Put Up or Shut Up","37","31","2",".543","24-17-1","5.5","38","32"
"5","Tardy Plumbers","35","32","3",".521","21-20-1","7","36.5","33.5"
"6","wes11","34","32","4",".514","21-20-1","7.5","36","34"
"7","Acuna Matata","34","33","3",".507","13-27-2","8","35.5","34.5"
"8","Shmoulie","32","31","7",".507","19-21-2","8","35.5","34.5"
"9","Murk Masters","33","33","4",".500","22-20-0","8.5","35","35"
"10","UNKle Jerik","32","33","5",".493","22-15-5","9","34.5","35.5"
"11","Beasts of the East","32","33","5",".493","17-22-3","9","34.5","35.5"
"12","$wagga","31","36","3",".464","17-24-1","11","32.5","37.5"
"13","Polar Bears","28","38","4",".429","16-23-3","13.5","30","40"
"14","North Shore Beefs","25","35","10",".429","13-22-7","13.5","30","40"
"15","Cleveland Steamers","23","37","10",".400","12-26-4","15.5","28","42"
"16","vves11","24","39","7",".393","19-18-5","16","27.5","42.5"

"Scoring Period: 5"
"Team (Top=Away, Bottom=Home)","W","L","T","Pts","R","HR","RBI","SO","SB","OBP","TB","L","SV","QS","K","ERA","WHIP","HLD"
"Acuna Matata","10","4","0","10","35","6","16","66","4",".313","81","3","1","4","63","2.90","1.268","4"
"UNKle Jerik","4","10","0","4","20","5","18","45","1",".302","73","4","2","1","59","6.20","1.822","5"
"Kevin's Magoos","7","4","3","8.5","21","8","31","50","7",".290","89","3","2","2","37","2.61","0.895","2"
"North Shore Beefs","4","7","3","5.5","31","6","36","50","4",".344","90","3","1","2","33","4.39","1.585","1"
"Put Up or Shut Up","7","6","1","7.5","32","7","28","49","0",".341","104","6","1","7","69","2.56","1.009","3"
"Tardy Plumbers","6","7","1","6.5","34","7","24","39","1",".408","97","3","3","4","68","3.67","1.174","2"
"Beasts of the East","10","3","1","10.5","32","8","27","42","7",".375","103","3","2","3","46","4.93","1.601","1"
"vves11","3","10","1","3.5","28","6","20","50","2",".303","78","4","3","3","44","4.50","1.208","0"
"The Bronx Boofers","6","7","1","6.5","28","7","34","60","3",".321","84","4","2","3","66","3.97","1.119","1"
"Derty's Rolling Crew","7","6","1","7.5","25","7","27","25","1",".389","97","3","3","2","50","3.77","1.279","3"
"Murk Masters","3","9","2","4","32","11","34","61","4",".327","90","4","0","4","35","4.14","1.445","3"
"wes11","9","3","2","10","35","8","32","46","6",".375","95","3","0","1","43","4.09","1.333","3"
"Shmoulie","4","6","4","6","37","7","22","60","4",".300","65","4","1","4","65","4.54","1.530","2"
"Cleveland Steamers","6","4","4","8","22","7","22","62","5",".350","74","4","0","5","46","3.81","1.188","2"
"$wagga","7","7","0","7","31","7","31","52","2",".361","101","1","2","4","61","3.61","1.146","3"
"Polar Bears","7","7","0","7","37","8","32","57","3",".353","92","2","5","3","59","3.20","1.102","2"

"Scoring Period: 4"
"Team (Top=Away, Bottom=Home)","W","L","T","Pts","R","HR","RBI","SO","SB","OBP","TB","L","SV","QS","K","ERA","WHIP","HLD"
"vves11","2","11","1","2.5","25","8","28","59","4",".305","83","3","4","3","36","4.11","1.326","0"
"Acuna Matata","11","2","1","11.5","35","11","32","44","9",".341","106","5","1","3","53","3.18","1.139","2"
"Murk Masters","8","4","2","9","30","5","24","49","7",".318","68","2","1","5","62","3.00","1.101","0"
"Derty's Rolling Crew","4","8","2","5","29","9","29","39","1",".312","89","3","1","4","56","4.56","1.176","0"
"Kevin's Magoos","8","6","0","8","29","9","29","48","4",".350","114","2","2","3","43","1.94","0.696","3"
"UNKle Jerik","6","8","0","6","31","10","39","62","9",".393","115","3","1","1","29","4.78","1.313","1"
"Shmoulie","9","4","1","9.5","38","13","34","59","2",".398","134","2","4","2","57","4.88","1.554","0"
"wes11","4","9","1","4.5","26","6","17","41","8",".315","89","4","2","3","33","4.47","1.669","0"
"Tardy Plumbers","8","5","1","8.5","36","6","31","33","2",".356","91","0","4","1","41","4.82","1.393","3"
"Beasts of the East","5","8","1","5.5","34","12","34","58","7",".320","108","7","0","1","80","5.67","1.482","0"
"Cleveland Steamers","5","7","2","6","37","12","25","58","3",".339","94","6","2","1","52","5.65","1.587","2"
"$wagga","7","5","2","8","34","9","33","40","8",".374","115","6","4","1","57","6.62","1.703","0"
"Polar Bears","5","8","1","5.5","31","8","27","52","4",".329","82","0","2","5","42","1.82","1.014","3"
"The Bronx Boofers","8","5","1","8.5","36","12","34","56","5",".375","104","1","2","4","54","4.19","1.241","6"
"Put Up or Shut Up","6","8","0","6","22","6","34","60","8",".268","71","6","1","6","54","5.73","1.424","2"
"North Shore Beefs","8","6","0","8","32","13","35","48","6",".324","97","3","0","2","25","5.57","1.485","1"

