"Standings"
"Rank","Team","W","L","T","Win%","Div","GB","PtsF","PtsA"
"1","Kevin's Magoos","54","26","4",".667","27-15-0","0","56","28"
"2","Derty's Rolling Crew","46","31","7",".589","29-9-4","6.5","49.5","34.5"
"3","wes11","46","33","5",".577","21-20-1","7.5","48.5","35.5"
"4","Acuna Matata","44","36","4",".548","13-27-2","10","46","38"
"5","Put Up or Shut Up","44","37","3",".542","24-17-1","10.5","45.5","38.5"
"6","Murk Masters","41","36","7",".530","22-20-0","11.5","44.5","39.5"
"7","UNKle Jerik","40","39","5",".506","22-15-5","13.5","42.5","41.5"
"8","Shmoulie","38","39","7",".494","19-21-2","14.5","41.5","42.5"
"9","The Bronx Boofers","39","41","4",".488","24-17-1","15","41","43"
"10","$wagga","39","42","3",".482","17-24-1","15.5","40.5","43.5"
"11","Beasts of the East","38","41","5",".482","17-22-3","15.5","40.5","43.5"
"12","Tardy Plumbers","37","44","3",".458","21-20-1","17.5","38.5","45.5"
"13","Polar Bears","36","44","4",".452","16-23-3","18","38","46"
"14","vves11","30","46","8",".405","19-18-5","22","34","50"
"15","North Shore Beefs","27","45","12",".393","13-22-7","23","33","51"
"16","Cleveland Steamers","26","45","13",".387","12-26-4","23.5","32.5","51.5"

"Scoring Period: 6"
"Team (Top=Away, Bottom=Home)","W","L","T","Pts","R","HR","RBI","SO","SB","OBP","TB","L","SV","QS","K","ERA","WHIP","HLD"
"Beasts of the East","6","8","0","6","23","4","29","47","5",".321","77","2","4","0","43","4.38","1.378","3"
"UNKle Jerik","8","6","0","8","28","10","26","59","7",".286","93","3","1","2","39","4.12","1.008","5"
"Acuna Matata","10","3","1","10.5","37","8","28","46","4",".359","104","4","2","5","67","4.26","1.281","4"
"North Shore Beefs","3","10","1","3.5","37","6","21","40","10",".369","82","6","0","3","45","5.03","1.324","1"
"Kevin's Magoos","12","2","0","12","28","10","34","56","7",".355","91","1","3","4","62","2.08","0.965","2"
"Tardy Plumbers","2","12","0","2","23","7","26","41","0",".284","72","2","2","2","53","3.88","1.252","5"
"Put Up or Shut Up","7","6","1","7.5","26","4","21","63","6",".289","73","4","0","4","53","4.15","1.203","4"
"vves11","6","7","1","6.5","29","9","26","68","4",".330","89","4","2","3","37","5.71","1.341","2"
"The Bronx Boofers","1","12","1","1.5","23","3","28","49","6",".326","71","8","3","2","55","5.05","1.428","1"
"wes11","12","1","1","12.5","33","12","37","41","7",".327","106","1","0","3","59","2.44","1.316","1"
"Murk Masters","8","3","3","9.5","25","12","31","58","3",".338","108","2","0","3","56","3.45","1.169","1"
"Cleveland Steamers","3","8","3","4.5","20","8","21","72","5",".277","80","4","0","3","61","3.11","1.194","1"
"Shmoulie","6","8","0","6","29","5","14","70","2",".318","68","2","2","4","52","3.29","1.354","4"
"Polar Bears","8","6","0","8","28","9","29","53","6",".308","84","5","4","0","53","4.12","1.220","1"
"$wagga","8","6","0","8","22","6","24","44","7",".295","84","1","5","2","28","1.93","0.980","0"
"Derty's Rolling Crew","6","8","0","6","26","3","21","35","4",".315","71","3","3","3","51","3.77","1.047","1"

"Scoring Period: 5"
"Team (Top=Away, Bottom=Home)","W","L","T","Pts","R","HR","RBI","SO","SB","OBP","TB","L","SV","QS","K","ERA","WHIP","HLD"
"Acuna Matata","10","4","0","10","35","6","16","66","4",".313","81","3","1","4","63","2.90","1.268","4"
"UNKle Jerik","4","10","0","4","20","5","18","45","1",".302","73","4","2","1","59","6.00","1.822","5"
"Kevin's Magoos","7","3","4","9","21","8","31","50","7",".290","89","3","2","2","37","2.61","0.895","2"
"North Shore Beefs","3","7","4","5","31","6","36","50","4",".339","89","3","1","2","33","4.39","1.585","1"
"Put Up or Shut Up","7","6","1","7.5","32","7","28","49","0",".341","104","6","1","7","69","2.56","1.009","3"
"Tardy Plumbers","6","7","1","6.5","34","7","24","39","1",".408","97","3","3","4","68","3.67","1.174","2"
"Beasts of the East","10","3","1","10.5","32","8","27","42","7",".375","103","3","2","3","46","4.93","1.601","1"
"vves11","3","10","1","3.5","28","6","20","50","2",".303","78","4","3","3","44","4.50","1.229","0"
"The Bronx Boofers","6","7","1","6.5","28","7","34","60","3",".321","84","4","2","3","66","3.97","1.119","1"
"Derty's Rolling Crew","7","6","1","7.5","25","7","27","25","1",".389","97","3","3","2","50","3.77","1.279","3"
"Murk Masters","3","9","2","4","32","11","34","61","4",".327","90","4","0","4","35","4.14","1.445","3"
"wes11","9","3","2","10","35","8","32","46","6",".372","94","3","0","1","43","4.09","1.333","3"
"Shmoulie","4","6","4","6","37","7","22","60","4",".304","66","4","1","4","65","4.54","1.530","2"
"Cleveland Steamers","6","4","4","8","22","7","22","62","5",".354","75","4","0","5","46","3.81","1.188","2"
"$wagga","7","7","0","7","31","7","31","52","2",".361","101","1","2","4","61","3.61","1.146","3"
"Polar Bears","7","7","0","7","37","8","32","57","3",".353","92","2","5","3","59","3.20","1.102","2"

