Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Bobby Witt Jr.","KCR",65,276.823,249.186,73.4933,42.7262,13.1896,4.85955,12.7179,46.8264,40.0764,22.5919,1.92708,47.029,2.35161,2.34547,0.348043,2.72115,13.8931,4.24811,0.294933,0.0816113,0.169888,0.480382,0.356042,0.539981,0.380626,0.896023,0.245047,7.88858,0.316894,,0.66073,47.3433,14.3094,142.24,0.66073,4.39,14.419374525547028,7.399259090423584,3.20619,3.0999999046325684,,,,,,,438.6,6.747692307,438.6,6.747692307,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Juan Soto","NYM",64,276.51,223.559,63.9947,35.1131,9.96556,0.457201,18.4588,48.3491,46.0611,49.1687,3.69902,45.1351,1.6561,1.75185,0.374568,5.46218,6.65531,2.31777,0.286254,0.177818,0.163231,1.08937,0.415808,0.582624,0.422872,0.998432,0.296371,4.30739,0.281577,,-0.0752887,56.7692,23.7726,173.345,-0.0752887,-0.77,24.45520793646574,-4.062180995941162,2.97522,4.650000095367432,,,,,,,493.3,7.7078125,493.3,7.7078125,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Cal Raleigh","SEA",60,243.589,210.646,48.852,22.2271,8.55646,0.130332,17.9381,35.7503,43.6855,28.6802,1.77693,69.6861,2.19317,1.76398,0.191898,2.39423,2.77474,0.822986,0.231915,0.11774,0.286081,0.411563,0.327705,0.529244,0.363541,0.85695,0.29733,3.54262,0.247735,,-0.0640829,38.2823,9.21434,140.117,-0.0640829,6.03,11.434134639799595,8.560864448547363,2.90181,18.729999542236328,,,,,,,354.6,5.91,354.6,5.91,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Yordan Alvarez","HOU",59,262.583,221.344,68.1255,35.7757,12.5568,0.0818972,19.7111,43.967,50.3943,35.0754,4.85877,44.9905,3.6998,2.24546,0.218581,4.16185,1.18333,0.470529,0.307781,0.133578,0.171338,0.779619,0.407451,0.632407,0.434363,1.03986,0.324626,2.38227,0.304708,,-0.335516,56.3582,25.0236,182.934,-0.335516,-0.03,25.28841745853424,-6.079725531861186,2.89073,33.38999938964844,,,,,,,504.4,8.549152542,504.4,8.549152542,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"Shohei Ohtani","LAD",64,280.967,236.939,69.2648,34.8826,11.8289,1.59669,20.9566,53.4,51.9216,39.0798,5.13132,65.7831,2.38773,1.50525,0.280844,4.1563,7.76664,3.68506,0.292332,0.13909,0.234131,0.594072,0.395598,0.621076,0.424869,1.01667,0.328744,5.71394,0.318437,,-0.360608,58.1394,24.611,171.922,-0.360608,0,24.081551551818848,-5.979312419891357,2.75809,1.2699999809265137,,,,,,,520,8.125,520,8.125,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Pete Crow-Armstrong","CHC",65,278.412,248.99,65.5863,36.8449,12.8883,1.68701,14.166,44.1641,39.0683,20.2593,1.04868,68.8849,4.20591,2.11648,2.84045,2.9325,14.2143,3.29206,0.263409,0.0727675,0.247421,0.294104,0.326781,0.499404,0.353812,0.826185,0.235995,6.97784,0.305972,,1.15122,41.5571,8.33365,125.52,1.15122,5.52,9.7451833486557,6.523086309432983,2.56408,32.939998626708984,,,,,,,391.5,6.023076923,391.5,6.023076923,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Junior Caminero","TBR",67,285.581,257.036,72.6353,39.9627,10.808,0.608022,21.2566,43.3962,55.7999,24.2519,1.88333,53.6748,1.76396,2.23662,0.292481,5.99574,1.90504,0.538568,0.282588,0.0849213,0.18795,0.45183,0.345795,0.577465,0.389799,0.92326,0.294877,3.28675,0.278716,,-0.189123,50.9668,16.8878,150.726,-0.189123,-2.55,16.85614240169525,-1.8606995940208435,2.54728,16.479999542236328,,,,,,,465.8,6.952238805,465.8,6.952238805,,,,,,,,,,,,,,,,,,,"Junior Caminero","28163",691406
"Corbin Carroll","ARI",64,278.368,240.965,63.8334,34.5271,13.2691,4.03012,12.007,46.1549,37.9279,30.7633,1.0491,57.8077,3.73958,1.79778,1.10246,3.80848,12.1737,2.7128,0.264907,0.110513,0.207666,0.532167,0.354665,0.502911,0.3688,0.857575,0.238003,7.90483,0.299664,,0.941647,44.9361,11.7179,132.828,0.941647,5.01,11.994686007499695,2.1731207370758057,2.35137,14.100000381469727,,,,,,,410.1,6.4078125,410.1,6.4078125,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"Gunnar Henderson","BAL",64,276.685,245.778,66.0591,38.5467,13.1521,1.76737,12.593,42.0117,37.6012,25.8284,0.958831,59.4665,2.6625,2.18475,0.23123,5.02018,7.24188,1.82267,0.268776,0.0933497,0.214925,0.434335,0.342011,0.490381,0.358338,0.832392,0.221606,5.79229,0.303953,,0.334824,42.3155,9.2981,131.382,0.334824,-0.16,10.551699161529541,2.8029628694057465,2.34916,12.510000228881836,,,,,,,389.6,6.0875,389.6,6.0875,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Francisco Lindor","NYM",64,273.527,239.492,63.7758,38.918,11.5765,0.865813,12.4155,40.6635,37.1475,24.6125,0.345836,49.2488,4.32483,2.03739,0.303799,4.25946,8.73133,2.50427,0.266297,0.089982,0.180051,0.499758,0.34279,0.477389,0.355618,0.820179,0.211092,5.45086,0.28555,,0.342224,41.2288,8.58827,128.225,0.342224,0.39,9.68023893237114,3.1450356245040894,2.19955,25.350000381469727,,,,,,,368.4,5.75625,368.4,5.75625,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
