Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",145.012,637.496,518.394,148.835,72.6432,26.06,0.404686,49.7267,105.754,119.728,108.13,18.2163,161.883,5.97658,4.23586,0.505968,8.89965,7.8114,2.88641,0.287107,0.169616,0.253936,0.667948,0.412951,0.626713,0.428719,1.03966,0.339606,3.21597,0.318655,,-0.732354,135.191,59.8661,181.001,-0.732354,-2.34,60.12855452299118,-9.345410108566284,7.44065,1.9199999570846558,,,,,,,1210.6,8.348965517,1210.6,8.348965517,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",151.311,659.88,599.015,174.747,102.7,35.3992,5.51492,31.1327,104.141,96.4929,47.9143,5.00506,112.643,6.39442,5.70332,0.853096,7.05811,36.854,8.51144,0.291723,0.0726106,0.170702,0.425364,0.347566,0.525152,0.369097,0.872718,0.233428,7.00098,0.311566,,2.88174,107.995,30.0249,135.784,2.88174,3.65,30.712597846984863,10.655138969421387,6.55616,2.950000047683716,,,,,,,1015.2,6.723178807,1015.2,6.723178807,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Cal Raleigh","SEA",149.94,623.786,538.737,120.894,58.7074,22.3609,0.845735,38.9801,81.9133,103.098,73.9126,6.88974,172.411,6.20313,4.43652,0.496897,6.33879,7.304,2.61299,0.224403,0.11849,0.276395,0.428699,0.322499,0.486113,0.34293,0.808612,0.26171,3.60451,0.246891,,-0.480244,88.8356,15.1305,127.307,-0.480244,14.95,19.596122533082962,21.70277738571167,6.42201,17.889999389648438,,,,,,,819.6,5.464,819.6,5.464,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Shohei Ohtani","LAD",148.296,659.513,558.542,159.264,77.787,30.7925,3.11926,47.5654,121.296,118.754,90.8144,13.4492,156.575,4.75472,3.60436,0.729581,8.73907,25.4352,8.19491,0.285143,0.137699,0.23741,0.580005,0.387452,0.606922,0.412831,0.994374,0.321779,5.97201,0.312003,,0.675429,131.353,53.4261,168.897,0.675429,0,54.52915412187576,-13.999135971069336,6.39169,1.2799999713897705,,,,,,,1202.7,8.126351351,1202.7,8.126351351,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",154.01,674.968,545.386,147.411,82.593,26.3172,0.397951,38.1031,106.989,99.089,120.557,8.85324,122.696,4.12926,3.82605,1.0695,13.7627,16.6064,6.03202,0.270288,0.178612,0.181781,0.982565,0.403767,0.529595,0.397438,0.933362,0.259307,3.96443,0.281423,,-0.458885,125.995,46.2427,161.144,-0.458885,-2.99,48.45497900247574,-10.314108610153198,6.19985,4.639999866485596,,,,,,,1101.3,7.151298701,1101.3,7.151298701,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Julio Rodríguez","SEA",151.437,658.917,597.625,163.365,103.397,25.7668,6.15308,28.0486,95.4091,87.2243,47.6324,3.64192,145.933,9.22342,3.88848,0.547418,10.7846,25.4825,6.58914,0.273358,0.0722889,0.221474,0.3264,0.334495,0.477865,0.34743,0.81236,0.204508,6.69092,0.316506,,1.36424,96.2462,18.3901,130.407,1.36424,0.52,24.978724598884583,2.6662158966064453,5.14875,9.699999809265137,,,,,,,886.5,5.870860927,886.5,5.870860927,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Gunnar Henderson","BAL",152.641,659.126,582.619,155.906,93.7622,34.638,2.69507,24.8105,93.9616,80.0052,64.8709,3.18709,140.023,5.69851,5.41089,0.526269,12.2374,20.4599,5.22179,0.267595,0.0984196,0.212438,0.463287,0.343874,0.464051,0.347398,0.807925,0.196457,5.57671,0.309774,,0.889738,96.2593,18.3785,125.298,0.889738,-1.33,20.54235851764679,5.736713290214539,5.00974,12.199999809265137,,,,,,,881.2,5.759477124,881.2,5.759477124,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Fernando Tatis Jr.","SDP",148.292,645.773,564.894,154.114,93.2878,27.5095,4.13278,29.1842,99.2119,85.1087,69.5453,3.08164,128.915,6.19599,4.19121,0.946724,12.442,23.2335,7.02155,0.27282,0.107693,0.199629,0.539465,0.356461,0.49114,0.363384,0.847601,0.21832,5.91632,0.303977,,0.675717,102.691,26.3877,138.253,0.675717,4.32,29.9538996219635,-2.7360754013061523,4.98291,14.3100004196167,,,,,,,926.1,6.257432432,926.1,6.257432432,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Vladimir Guerrero Jr.","TOR",152.912,662.45,578.548,173.105,109.565,30.8353,1.15804,31.5464,97.5705,97.9676,71.8698,7.00498,87.5365,7.12448,4.29013,0.617543,16.4973,5.82807,2.25172,0.299205,0.108491,0.132141,0.821026,0.380911,0.520087,0.383904,0.900998,0.220882,3.45309,0.305243,,-0.955066,116.379,38.1057,149.604,-0.955066,-0.37,37.774842262268066,-12.363384366035461,4.93268,17.850000381469727,,,,,,,1029,6.725490196,1029,6.725490196,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Ketel Marte","ARI",142.228,621.807,542.362,149.836,86.9982,31.3981,1.84806,29.5913,87.1992,96.2901,67.7182,4.46037,102.35,6.38392,4.31535,0.635504,12.9784,4.89678,1.81225,0.276265,0.108905,0.164601,0.661635,0.360736,0.504652,0.369364,0.865388,0.228387,3.65095,0.28993,,-0.796878,101.899,28.4275,137.627,-0.796878,-0.25,26.9332817196846,-0.17764151096343994,4.85404,33.150001525878906,,,,,,,907.2,6.388732394,907.2,6.388732394,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Corey Seager","TEX",123.584,528.771,455.934,125.614,73.3888,23.6232,0.670193,27.9317,71.2183,83.3218,59.8066,8.46978,99.6316,4.62728,4.26101,0.477221,10.3058,1.73846,0.700227,0.275509,0.113105,0.188421,0.600277,0.362252,0.51405,0.37032,0.876302,0.238541,2.37168,0.293665,,-0.793008,87.063,24.5847,141.049,-0.793008,-0.09,24.789507627487183,3.9833180010318756,4.80585,98.83999633789062,,,,,,,784.1,6.323387096,784.1,6.323387096,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"William Contreras","MIL",143.806,599.474,523.499,137.704,89.6305,27.1153,0,20.9587,71.3995,80.3255,66.3028,2.71607,119.209,4.62324,4.09439,0.954758,14.9981,5.31486,2.08951,0.263046,0.110602,0.198856,0.556189,0.348578,0.43495,0.340795,0.783528,0.171904,2.76204,0.301338,,-0.834731,84.334,13.5015,119.795,-0.834731,5.49,13.229872703552246,12.619861125946045,4.68534,54.65999984741211,,,,,,,742.4,5.155555555,742.4,5.155555555,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
