Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
Aaron Judge,NYY,147.116,672.0,546.143407721097,157.00220098626474,76.68035550107264,27.41799608094429,0.41627503970133456,52.48790200503348,111.62139321501873,127.57696486780154,114.26539993870672,19.1654082968824,170.33664874302326,6.3228581246111135,4.462151394422311,0.5298352324965871,9.412695140185182,8.104130238950958,2.972947371353746,0.287475,0.170038,0.253477,0.67082,0.413578,0.627522,0.429298,1.0411,0.340047,3.20459,0.318855,,-0.742623,137.314,60.9752,181.399,-0.742623,0,61.240782618522644,-7.189310550689697,7.80525,999,,,,,,,1220.8,8.304761904,1220.8,8.304761904,,,,,,,,,,,,,,,,,,,Aaron Judge,15640,592450
Juan Soto,NYM,154.969,686.0,554.2922361027751,149.73636765187123,84.06630518204591,26.627147446103816,0.38947280574188237,38.65312914099221,109.0464260715035,101.07051298042848,122.52585006361443,8.932237452839464,124.3821650629761,4.202006577161313,3.8931576390896456,1.0857932728641468,14.020916312152485,16.771061077204603,6.133892925222577,0.270139,0.17861,0.181315,0.985082,0.403648,0.528785,0.397154,0.932433,0.258646,3.71539,0.281115,,-0.487103,127.048,46.5296,160.95,-0.487103,0,48.73931071162224,-7.369714736938477,6.55225,999,,,,,,,1109.5,7.158064516,1109.5,7.158064516,,,,,,,,,,,,,,,,,,,Juan Soto,20123,665742
Shohei Ohtani,LAD,149.72,679.0,575.361878914405,163.9249373695198,80.09192797494781,31.599926931106467,3.1809317327766173,49.05243423799582,124.82725469728601,122.48325678496867,93.1566534446764,13.81136221294363,160.8620459290188,4.9087265135699365,3.7163352818371607,0.7493462630480165,8.95854739039666,26.052296450939455,8.429259498956158,0.284908,0.137197,0.23691,0.579109,0.386905,0.606652,0.412501,0.993557,0.321744,5.96718,0.31117,,0.665245,133.381,54.1449,168.671,0.665245,0,55.24497181177139,-14.133561134338379,6.48891,999,,,,,,,1215.4,8.102666666,1215.4,8.102666666,,,,,,,,,,,,,,,,,,,Shohei Ohtani,19755,660271
Cal Raleigh,SEA,150.848,637.0,550.1948370346714,123.47861104887927,60.064840863915656,22.796565120192195,0.8519183083955785,39.76499323923879,82.66788709926006,106.13276037669597,75.39584820939135,7.026820503776016,175.79753466578325,6.369939272316471,4.53410091409305,0.5053869157423253,6.51158659414936,7.406267313030395,2.6068775134381053,0.224427,0.118361,0.275977,0.428879,0.32246,0.485781,0.342807,0.808241,0.261354,3.56693,0.246821,,-0.470532,89.5671,15.2026,127.222,-0.470532,14.95,19.722146034240723,21.74367094039917,6.45874,999,,,,,,,823.1,5.450993377,823.1,5.450993377,,,,,,,,,,,,,,,,,,,Cal Raleigh,21534,663728
Bobby Witt Jr.,KCR,153.223,679.0,616.4450824018621,179.9073042712356,105.79402230737197,36.39084501978783,5.6500914045016195,32.07273203891057,107.67871512413456,99.057135453023,49.176751620025705,5.1190413162727575,115.61313965924785,6.639773810558104,5.865442732128788,0.8728639987297441,7.293384872569962,37.80797534984466,8.699723734312789,0.291847,0.0724253,0.17027,0.425357,0.347611,0.525297,0.369193,0.872908,0.23345,7.01502,0.311477,,2.91594,109.307,30.4275,135.85,2.91594,0,31.123815774917603,7.093657493591309,6.26097,999,,,,,,,1034.7,6.762745098,1034.7,6.762745098,,,,,,,,,,,,,,,,,,,Bobby Witt Jr.,25764,677951
Gunnar Henderson,BAL,152.732,672.0,593.9693507890145,159.07142824594104,95.7879654228051,35.266289057693974,2.7327569252361577,25.28427393814565,96.66395505146937,82.29209071728998,66.11680238413132,3.211060327818055,142.28860201138298,5.8624243225139105,5.518714246004804,0.5325347344054026,12.509646344742107,20.84369449216454,5.246516443306251,0.267811,0.098388,0.21174,0.464665,0.344098,0.464091,0.347548,0.808189,0.196281,5.60705,0.309753,,0.914884,96.2269,18.4374,125.401,0.914884,0,20.62490999698639,7.070925712585449,5.15198,999,,,,,,,882.2,5.766013071,882.2,5.766013071,,,,,,,,,,,,,,,,,,,Gunnar Henderson,26289,683002
Julio Rodríguez,SEA,152.067,686.0,622.2290961117046,170.22656971584834,107.8450507392047,26.789246065523294,6.383447187158544,29.208349481741728,98.0142724764716,91.11724982040553,49.54544524331274,3.7591247864486177,151.6054989103597,9.608766563437587,4.049912074180052,0.5670709292428056,11.276898117125763,26.55992508345859,6.769337975623449,0.273575,0.0722236,0.221,0.326804,0.33465,0.477971,0.347564,0.812622,0.204396,6.65302,0.316564,,1.41229,96.8568,18.565,130.499,1.41229,0,25.23094618320465,2.155144453048706,5.13525,999,,,,,,,891,5.861842105,891,5.861842105,,,,,,,,,,,,,,,,,,,Julio Rodriguez,23697,677594
Vladimir Guerrero Jr.,TOR,154.695,679.0,592.8705315060007,177.25304873962597,112.4185779150478,31.433984902614572,1.1658657318538752,32.2347213059581,100.70461022744367,99.43752753135858,73.77614529707063,7.137990192209464,89.62929023822537,7.330666441302921,4.394575663395915,0.6284076964201417,16.974823047265335,5.8181351348533985,2.23687468633983,0.298975,0.108654,0.132002,0.823126,0.380854,0.51904,0.383546,0.899894,0.220065,3.45702,0.305045,,-0.972036,117.775,38.4314,149.358,-0.972036,0,38.09205120801926,-12.133231163024902,5.02058,999,,,,,,,1036.2,6.68516129,1036.2,6.68516129,,,,,,,,,,,,,,,,,,,Vladimir Guerrero Jr.,19611,665489
Ketel Marte,ARI,143.61,637.0,555.7199568718298,153.2875585162115,89.04280006280177,32.0517586104142,1.8704972396048611,30.322778146257683,88.85798223606423,98.75252248528483,69.21249018721983,4.538905390380431,104.68077624297884,6.587464553834914,4.422218088838903,0.6493024787483217,13.280043608796094,4.890222545843706,1.8202667954744256,0.275837,0.108654,0.164334,0.661175,0.360234,0.503939,0.368894,0.864173,0.228103,3.61913,0.289236,,-0.80905,102.05,28.2978,137.305,-0.80905,0,26.788741767406464,-0.1217695102095604,4.85307,999,,,,,,,904.2,6.279166666,904.2,6.279166666,,,,,,,,,,,,,,,,,,,Ketel Marte,13613,606466
Corey Seager,TEX,125.821,560.0,482.9056018355561,133.1685504582372,77.9653486643983,24.973574771533237,0.6981923422894912,29.531489955284396,75.32141786277654,88.37962637047467,63.24064296609176,8.953592240603856,105.0167520565268,4.936217033647517,4.520807748966848,0.5031415646551163,10.981944281486696,1.7419635756840968,0.6920150703325642,0.275766,0.11293,0.18753,0.602195,0.362391,0.513834,0.370329,0.876225,0.238068,2.34135,0.293692,,-0.806071,88.4132,24.9686,141.055,-0.806071,0,25.1758171916008,3.3979437351226807,4.81428,999,,,,,,,791.3,6.28015873,791.3,6.28015873,,,,,,,,,,,,,,,,,,,Corey Seager,13624,608369
