Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",147.116,646.074,525.073,150.945,73.722,26.3602,0.400215,50.4629,107.315,122.655,109.857,18.426,163.765,6.07892,4.29,0.509394,9.04955,7.79147,2.85825,0.287475,0.170038,0.253477,0.67082,0.413578,0.627522,0.429298,1.0411,0.340047,3.20459,0.318855,,-0.742623,137.314,60.9752,181.399,-0.742623,0,61.240782618522644,-7.189310550689697,7.80525,999,,,,,,,1220.8,8.304761904,1220.8,8.304761904,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Juan Soto","NYM",154.969,681.449,550.615,148.743,83.5086,26.4505,0.386889,38.3967,108.323,100.4,121.713,8.87298,123.557,4.17413,3.86733,1.07859,13.9279,16.6598,6.0932,0.270139,0.17861,0.181315,0.985082,0.403648,0.528785,0.397154,0.932433,0.258646,3.71539,0.281115,,-0.487103,127.048,46.5296,160.95,-0.487103,0,48.73931071162224,-7.369714736938477,6.55225,999,,,,,,,1109.5,7.158064516,1109.5,7.158064516,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",149.72,670.6,568.244,161.897,79.1011,31.209,3.14158,48.4456,123.283,120.968,92.0042,13.6405,158.872,4.848,3.67036,0.740076,8.84772,25.73,8.32498,0.284908,0.137197,0.23691,0.579109,0.386905,0.606652,0.412501,0.993557,0.321744,5.96718,0.31117,,0.665245,133.381,54.1449,168.671,0.665245,0,55.24497181177139,-14.133561134338379,6.48891,999,,,,,,,1215.4,8.102666666,1215.4,8.102666666,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Cal Raleigh","SEA",150.848,629.367,543.602,121.999,59.3451,22.5234,0.84171,39.2885,81.6773,104.861,74.4924,6.94262,173.691,6.29361,4.47977,0.499331,6.43356,7.31752,2.57564,0.224427,0.118361,0.275977,0.428879,0.32246,0.485781,0.342807,0.808241,0.261354,3.56693,0.246821,,-0.470532,89.5671,15.2026,127.222,-0.470532,14.95,19.722146034240723,21.74367094039917,6.45874,999,,,,,,,823.1,5.450993377,823.1,5.450993377,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Bobby Witt Jr.","KCR",153.223,667.582,606.079,176.882,104.015,35.7789,5.55508,31.5334,105.868,97.3914,48.3498,5.03296,113.669,6.52812,5.76681,0.858186,7.17074,37.1722,8.55343,0.291847,0.0724253,0.17027,0.425357,0.347611,0.525297,0.369193,0.872908,0.23345,7.01502,0.311477,,2.91594,109.307,30.4275,135.85,2.91594,0,31.123815774917603,7.093657493591309,6.26097,999,,,,,,,1034.7,6.762745098,1034.7,6.762745098,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson","BAL",152.732,658.353,581.907,155.841,93.8427,34.5501,2.67726,24.7708,94.7009,80.6209,64.7741,3.14585,139.399,5.74337,5.40664,0.52172,12.2556,20.4204,5.13997,0.267811,0.098388,0.21174,0.464665,0.344098,0.464091,0.347548,0.808189,0.196281,5.60705,0.309753,,0.914884,96.2269,18.4374,125.401,0.914884,0,20.62490999698639,7.070925712585449,5.15198,999,,,,,,,882.2,5.766013071,882.2,5.766013071,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Julio Rodríguez","SEA",152.067,662.604,601.008,164.421,104.167,25.8756,6.16574,28.2122,94.6715,88.0097,47.8557,3.63092,146.435,9.28106,3.91179,0.547731,10.8923,25.6541,6.53847,0.273575,0.0722236,0.221,0.326804,0.33465,0.477971,0.347564,0.812622,0.204396,6.65302,0.316564,,1.41229,96.8568,18.565,130.499,1.41229,0,25.23094618320465,2.155144453048706,5.13525,999,,,,,,,891,5.861842105,891,5.861842105,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Vladimir Guerrero Jr.","TOR",154.695,671.507,586.328,175.297,111.178,31.0871,1.153,31.879,99.5933,98.3402,72.962,7.05922,88.6402,7.24977,4.34608,0.621473,16.7875,5.75393,2.21219,0.298975,0.108654,0.132002,0.823126,0.380854,0.51904,0.383546,0.899894,0.220065,3.45702,0.305045,,-0.972036,117.775,38.4314,149.358,-0.972036,0,38.09205120801926,-12.133231163024902,5.02058,999,,,,,,,1036.2,6.68516129,1036.2,6.68516129,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Ketel Marte","ARI",143.61,624.186,544.541,150.204,87.2516,31.407,1.83287,29.7128,87.0705,96.766,67.8202,4.4476,102.575,6.45495,4.33326,0.636241,13.0129,4.79185,1.78365,0.275837,0.108654,0.164334,0.661175,0.360234,0.503939,0.368894,0.864173,0.228103,3.61913,0.289236,,-0.80905,102.05,28.2978,137.305,-0.80905,0,26.788741767406464,-0.1217695102095604,4.85307,999,,,,,,,904.2,6.279166666,904.2,6.279166666,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Corey Seager","TEX",125.821,536.949,463.028,127.687,74.7561,23.9456,0.669453,28.3159,72.221,84.7417,60.6375,8.58504,100.694,4.73303,4.33472,0.482431,10.5299,1.67026,0.66353,0.275766,0.11293,0.18753,0.602195,0.362391,0.513834,0.370329,0.876225,0.238068,2.34135,0.293692,,-0.806071,88.4132,24.9686,141.055,-0.806071,0,25.1758171916008,3.3979437351226807,4.81428,999,,,,,,,791.3,6.28015873,791.3,6.28015873,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
