Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",145.012,637.496,517.791,148.857,75.2802,24.1381,0.755245,48.6834,104.882,117.774,108.325,18.2162,159.124,5.97658,4.28451,0.509928,9.02889,8.02032,2.86888,0.287484,0.169923,0.249607,0.680761,0.413526,0.619083,0.426518,1.03261,0.331598,3.48717,0.318751,,-0.702093,134.052,58.727,179.485,-0.702093,-2.34,59.01972061395645,-9.345410108566284,7.3272,1.9199999570846558,,,,,,,1201.1,8.283448275,1201.1,8.283448275,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Cal Raleigh","SEA",149.94,623.786,538.839,126.296,59.1291,23.0086,0.481333,43.6769,87.7159,111.457,73.551,6.88943,170.815,6.2031,4.39946,0.499898,6.42564,7.74882,2.29014,0.234386,0.117911,0.273835,0.430589,0.330743,0.522045,0.359205,0.852788,0.287659,3.50783,0.251316,,-0.259467,97.0778,23.3727,138.518,-0.259467,14.95,28.059082984924316,21.70277738571167,7.28788,17.889999389648438,,,,,,,896.5,5.976666666,896.5,5.976666666,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Shohei Ohtani","LAD",148.296,659.513,559.505,159.078,80.2534,26.4351,5.59113,46.798,121.936,115.783,89.5076,13.4488,155.775,4.75472,3.63274,0.733773,8.49449,23.2091,10.5937,0.284318,0.135718,0.236196,0.574597,0.385366,0.602477,0.410192,0.987843,0.318158,6.23973,0.311399,,-0.759787,129.94,52.0132,167.089,-0.759787,0,51.6810622215271,-13.999135971069336,6.10029,1.2799999713897705,,,,,,,1179.7,7.970945945,1179.7,7.970945945,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Juan Soto","NYM",154.01,674.968,544.64,145.264,82.7213,24.7167,0.635636,37.1906,106.386,96.6703,121.275,8.85284,120.377,4.12929,3.8503,1.07394,13.7611,17.2614,5.67198,0.266716,0.179675,0.178345,1.00745,0.401648,0.519286,0.393115,0.920934,0.25257,4.0573,0.276458,,-0.186015,123.626,43.8737,158.183,-0.186015,-2.99,46.358769819140434,-10.314108610153198,5.98539,4.639999866485596,,,,,,,1083.5,7.035714285,1083.5,7.035714285,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Bobby Witt Jr.","KCR",151.311,659.88,599.248,170.665,101.248,36.2173,6.08302,27.1172,100.21,90.9722,47.6452,5.005,113.858,6.39439,5.74075,0.851961,6.88472,34.8842,9.93753,0.284799,0.0722028,0.172544,0.418461,0.340964,0.501295,0.357286,0.842259,0.216496,7.109,0.309362,,1.91513,101.667,23.697,127.648,1.91513,3.65,23.418129682540894,10.655138969421387,5.80984,2.950000047683716,,,,,,,951.5,6.301324503,951.5,6.301324503,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Julio Rodríguez","SEA",151.437,658.917,597.511,165.301,103.613,28.1532,3.85907,29.6759,96.0019,90.6358,47.7838,3.64189,147.895,9.22334,3.85396,0.545345,11.1792,25.1916,7.13108,0.276649,0.0725186,0.224451,0.323093,0.337663,0.485682,0.351955,0.823345,0.209033,6.09527,0.320026,,1.08171,98.6669,20.8108,133.524,1.08171,0.52,27.116885662078857,2.6662158966064453,5.36751,9.699999809265137,,,,,,,910.9,6.032450331,910.9,6.032450331,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Gunnar Henderson","BAL",152.641,659.126,582.577,156.724,92.6385,33.1505,3.85155,27.0832,96.6282,82.7943,64.9711,3.18683,141.982,5.69856,5.35502,0.524308,11.9824,20.2949,5.21278,0.269018,0.0985715,0.21541,0.457601,0.345267,0.478609,0.353009,0.823876,0.209591,5.84828,0.309503,,0.86718,99.2621,21.3813,129.163,0.86718,-1.33,23.52264654636383,5.736713290214539,5.31466,12.199999809265137,,,,,,,905.5,5.918300653,905.5,5.918300653,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"José Ramírez","CLE",150.745,649.387,576.904,159.774,93.83,33.4787,3.14298,29.3223,94.222,89.8048,61.2089,14.9428,74.2522,4.47775,5.90076,0.701892,7.04704,32.7508,10.4763,0.276951,0.0942565,0.114342,0.824338,0.347669,0.498359,0.3546,0.846028,0.221409,5.92003,0.272211,,1.30551,98.6342,21.9041,129.999,1.30551,0.6,24.26611089706421,1.1995647549629211,4.89223,5.619999885559082,,,,,,,934.1,6.186092715,934.1,6.186092715,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Corey Seager","TEX",123.584,528.771,456.392,125.959,74.3343,23.6373,0.776037,27.2117,70.434,82.7227,59.0518,8.46946,97.7243,4.6273,4.3034,0.481079,10.3446,1.80545,0.706161,0.275989,0.111678,0.184814,0.60427,0.361647,0.510052,0.368624,0.871699,0.234063,2.63977,0.294102,,-0.783303,86.3348,23.8564,139.881,-0.783303,-0.09,24.07098525762558,3.9833180010318756,4.73234,98.83999633789062,,,,,,,771.7,6.223387096,771.7,6.223387096,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Francisco Lindor","NYM",140.042,617.992,544.941,141.366,86.3343,26.7133,1.58731,26.7308,86.6287,78.9484,52.6098,1.06242,115.468,9.4763,4.49253,0.674795,9.24787,21.9166,6.14089,0.259415,0.0851303,0.186844,0.455622,0.332699,0.461419,0.342514,0.794118,0.202004,5.51358,0.281496,,0.895704,87.8016,14.781,123.519,0.895704,1.02,18.122401535511017,7.023172378540039,4.67633,26.360000610351562,,,,,,,799.1,5.707857142,799.1,5.707857142,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
