Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",147.116,646.074,524.609,151.007,76.5031,24.4143,0.763372,49.3259,106.253,119.843,109.945,18.4712,161.167,6.07012,4.33071,0.496197,9.20337,7.92899,2.81174,0.287846,0.170174,0.249456,0.682179,0.414016,0.619367,0.426851,1.03338,0.331521,3.46607,0.319302,,-0.714658,136.03,59.6917,179.714,-0.714658,0,59.98517483472824,-7.189310550689697,7.67678,1.9700000286102295,,,,,,,1211.3,8.240136054,1211.3,8.240136054,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Cal Raleigh","SEA",150.848,629.367,543.89,127.5,59.8659,23.1956,0.477329,43.9611,86.7701,112.612,73.9761,6.94374,172.358,6.28007,4.43284,0.484599,6.53777,7.70663,2.2373,0.234422,0.11754,0.273859,0.429201,0.330517,0.521307,0.358853,0.851824,0.286884,3.43636,0.25162,,-0.254087,97.7668,23.4023,138.276,-0.254087,14.95,28.138315558433533,21.74367094039917,7.31982,19.170000076293945,,,,,,,897.1,5.941059602,897.1,5.941059602,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Juan Soto","NYM",154.969,681.449,549.948,146.582,83.685,24.8492,0.631636,37.4163,107.179,97.3433,122.389,8.83161,121.603,4.16931,3.87976,1.06228,13.9285,17.277,5.70362,0.266538,0.179601,0.178448,1.00647,0.401449,0.518128,0.392703,0.919577,0.25159,4.04427,0.276503,,-0.20998,124.585,44.067,157.9,-0.20998,0,46.55375334620476,-7.369714736938477,6.32864,4.46999979019165,,,,,,,1092.7,7.049677419,1092.7,7.049677419,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",149.72,670.6,569.35,161.673,81.6644,26.7917,5.65421,47.5625,124.01,117.778,90.5834,13.5745,158.456,4.84577,3.68851,0.724217,8.61242,23.4854,10.7169,0.28396,0.135078,0.23629,0.571664,0.384614,0.601493,0.409556,0.986107,0.317533,6.24373,0.31091,,-0.771189,131.778,52.5413,166.654,-0.771189,0,52.20500320196152,-14.133561134338379,6.17788,1.1100000143051147,,,,,,,1202.8,8.018666666,1202.8,8.018666666,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Bobby Witt Jr.","KCR",153.223,667.582,606.472,172.792,102.656,36.6477,6.11039,27.3778,101.693,91.6116,47.9635,5.03614,115.217,6.51992,5.79239,0.834026,7.01189,35.1414,9.95433,0.284913,0.0718466,0.172589,0.416287,0.340872,0.50092,0.357132,0.841792,0.216007,7.11915,0.30961,,1.94767,102.77,23.8902,127.542,1.94767,0,23.618281602859497,7.093657493591309,5.49306,3.2799999713897705,,,,,,,961.6,6.28496732,961.6,6.28496732,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson","BAL",152.732,658.353,581.502,156.683,92.8706,33.2213,3.83817,26.7526,96.6978,82.7857,65.2442,3.17503,141.564,5.76667,5.33966,0.500832,12.0196,20.4301,5.16258,0.269445,0.0991022,0.215028,0.460881,0.346117,0.477794,0.35317,0.823911,0.208349,5.86637,0.310448,,0.910931,99.2317,21.4423,129.274,0.910931,0,23.625831723213196,7.070925712585449,5.45901,14.75,,,,,,,906.5,5.924836601,906.5,5.924836601,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Julio Rodríguez","SEA",152.067,662.604,601.086,166.461,104.527,28.2946,3.85316,29.7861,95.2588,91.7799,47.8609,3.62389,148.697,9.26628,3.8661,0.524388,11.3157,25.3035,7.04175,0.276934,0.0722316,0.224412,0.32187,0.337706,0.485488,0.351932,0.823195,0.208555,6.05819,0.32048,,1.13371,99.2065,20.9147,133.508,1.13371,0,27.302048563957214,2.155144453048706,5.34715,10.890000343322754,,,,,,,913.5,6.009868421,913.5,6.009868421,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Francisco Lindor","NYM",153.163,673.796,594.287,154.041,94.3649,28.9944,1.71591,28.9657,94.2028,85.9416,57.2499,1.10659,125.928,10.3259,4.89112,0.711447,10.1156,23.774,6.70479,0.259203,0.0849662,0.186893,0.454623,0.332382,0.459987,0.341894,0.792369,0.200784,5.50238,0.281521,,0.947297,95.391,15.7768,123.095,0.947297,0,19.390580117702484,6.608506679534912,4.95361,16.829999923706055,,,,,,,863.5,5.643790849,863.5,5.643790849,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"José Ramírez","CLE",153.117,658.363,584.944,161.958,95.4428,33.9354,3.18037,29.3992,95.4429,91.0321,61.992,15.1969,75.5529,4.57532,5.96595,0.682762,7.22382,32.9646,10.5301,0.276877,0.0941608,0.114759,0.820511,0.347579,0.496546,0.353901,0.844124,0.219668,5.91623,0.272778,,1.31146,99.6238,21.8331,129.517,1.31146,0,24.21562969684601,0.21923960745334625,4.81837,5.309999942779541,,,,,,,943.4,6.166013071,943.4,6.166013071,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Corey Seager","TEX",125.821,536.949,463.668,128.078,75.8124,23.9658,0.7839,27.5159,71.3351,84.0397,59.7351,8.58022,98.9814,4.72294,4.36801,0.469165,10.5855,1.70271,0.650279,0.276228,0.111249,0.18434,0.603498,0.361574,0.509329,0.368358,0.870903,0.233101,2.59976,0.294438,,-0.795134,87.5541,24.1094,139.697,-0.795134,0,24.327607214450836,3.3979437351226807,4.7275,108.41999816894531,,,,,,,787.3,6.248412698,787.3,6.248412698,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Ketel Marte","ARI",143.61,624.186,544.618,148.812,87.255,29.9551,2.68973,28.9125,86.5492,94.578,67.4656,4.42818,103.587,6.45608,4.32487,0.615156,12.8646,4.72664,1.76702,0.273242,0.108086,0.165955,0.651297,0.357596,0.497384,0.365303,0.854981,0.224143,3.87758,0.287914,,-0.813101,100.231,26.4782,134.845,-0.813101,0,24.96505904197693,-0.1217695102095604,4.66648,39.75,,,,,,,889,6.173611111,889,6.173611111,,,,,,,,,,,,,,,,,,,"Ketel Marte","13613",606466
"Yordan Alvarez","HOU",130.822,559.742,476.167,140.815,80.4606,28.5814,1.0267,30.7468,83.4057,89.3556,69.9334,9.14508,91.354,7.84689,5.28831,0.506333,9.50947,3.32917,1.08379,0.295727,0.124939,0.163207,0.765521,0.390883,0.553778,0.397667,0.944661,0.25805,3.11503,0.306296,,-0.762278,104.59,38.4525,159.057,-0.762278,0,38.19893419742584,-11.911262512207031,4.66065,45.86000061035156,,,,,,,931.7,7.11221374,931.7,7.11221374,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"William Contreras","MIL",145.601,611.426,533.29,141.031,94.7037,26.2853,0.990097,19.0518,74.1722,78.5497,68.2165,2.70883,119.745,4.75997,4.20176,0.957552,15.3533,5.92922,1.71502,0.264454,0.11157,0.195846,0.569681,0.350562,0.424631,0.338283,0.775193,0.160177,3.50046,0.305946,,-0.605574,84.7685,12.5238,118.075,-0.605574,5.49,12.492579102516174,12.708856582641602,4.65969,52.939998626708984,,,,,,,741.1,5.076027397,741.1,5.076027397,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Kyle Tucker","LAD",143.416,621.669,529.465,144.175,83.5629,28.9752,2.0519,29.5846,96.6851,88.4437,81.2972,5.77953,87.7427,3.56042,5.10993,0.796522,8.88777,18.4673,5.46592,0.272302,0.130772,0.141141,0.926541,0.369745,0.502408,0.372082,0.872153,0.230105,5.08587,0.274633,,0.38137,103.248,29.7929,140.982,0.38137,0,30.577420711517334,-6.63962984085083,4.56527,18.329999923706055,,,,,,,930.1,6.504195804,930.1,6.504195804,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Ronald Acuña Jr.","ATL",142.472,626.877,531.684,145.628,91.5271,24.569,2.01421,27.5172,99.2269,81.7573,82.3365,3.37408,136.52,8.5293,3.80397,0.523717,12.2111,28.1781,7.79807,0.273899,0.131344,0.217777,0.603111,0.377572,0.48295,0.371666,0.860522,0.209051,5.60214,0.31797,,1.26035,103.901,29.8306,139.717,1.26035,0,30.76927959918976,-7.447012901306152,4.52003,7.559999942779541,,,,,,,936.5,6.595070422,936.5,6.595070422,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
