Name,R,HR,RBI,SO,TB,SB,OBP
Aaron Judge,106.3,49.3,119.8,161.2,324.9,7.9,0.414
Cal Raleigh,86.8,44.0,112.6,172.4,283.5,7.7,0.331
Juan Soto,107.2,37.4,97.3,121.6,284.9,17.3,0.401
Shohei Ohtani,124.0,47.6,117.8,158.5,342.5,23.5,0.385
Bobby Witt Jr.,101.7,27.4,91.6,115.2,303.8,35.1,0.341
Gunnar Henderson,96.7,26.8,82.8,141.6,277.8,20.4,0.346
Julio Rodríguez,95.3,29.8,91.8,148.7,291.8,25.3,0.338
Francisco Lindor,94.2,29.0,85.9,125.9,273.4,23.8,0.332
José Ramírez,95.4,29.4,91.0,75.6,290.5,33.0,0.348
Corey Seager,71.3,27.5,84.0,99.0,236.2,1.7,0.362
Ketel Marte,86.5,28.9,94.6,103.6,270.9,4.7,0.358
Yordan Alvarez,83.4,30.7,89.4,91.4,263.7,3.3,0.391
William Contreras,74.2,19.1,78.5,119.7,226.5,5.9,0.351
Kyle Tucker,96.7,29.6,88.4,87.7,266.0,18.5,0.37
Ronald Acuña Jr.,99.2,27.5,81.8,136.5,256.8,28.2,0.378
Mookie Betts,86.6,22.5,80.6,72.3,249.9,8.7,0.346
Junior Caminero,83.4,36.4,106.0,120.6,295.1,5.2,0.322
Vladimir Guerrero Jr.,94.3,27.3,92.1,90.1,285.7,5.8,0.376
Willy Adames,86.8,31.2,86.2,171.7,258.5,11.2,0.32
Corbin Carroll,104.8,26.4,80.5,139.2,275.9,36.1,0.345
Trea Turner,85.5,18.4,74.4,113.5,253.9,24.1,0.333
Fernando Tatis Jr.,94.8,27.0,82.1,129.0,263.8,23.5,0.35
Will Smith,70.0,20.7,68.5,95.4,199.4,2.9,0.354
Zach Neto,85.9,27.4,76.8,158.8,256.4,27.5,0.318
Nick Kurtz,88.2,37.2,93.3,177.0,265.2,3.2,0.357
Alejandro Kirk,55.9,12.9,54.7,58.6,171.4,0.3,0.337
Adley Rutschman,65.1,16.5,63.5,87.5,198.5,0.9,0.336
Jeremy Peña,81.9,18.1,70.4,114.5,244.1,17.3,0.327
Elly De La Cruz,92.4,22.8,73.2,177.9,256.1,38.8,0.327
Shea Langeliers,73.7,31.0,79.9,123.4,245.5,6.1,0.316
Matt Chapman,83.2,26.3,74.7,153.8,238.3,8.8,0.33
Geraldo Perdomo,82.8,13.4,59.1,88.5,215.8,18.1,0.349
Jacob Wilson,69.3,10.7,62.0,47.5,223.0,5.2,0.347
Jackson Merrill,75.4,22.4,78.9,118.3,252.1,8.8,0.318
Rafael Devers,88.3,33.4,94.6,159.9,274.3,1.9,0.354
Jazz Chisholm Jr.,87.8,29.7,72.2,157.5,237.3,31.4,0.315
Kyle Schwarber,98.6,44.0,110.7,186.0,283.7,5.9,0.352
Bryce Harper,85.2,26.7,86.9,128.5,257.6,9.6,0.367
Byron Buxton,77.2,29.0,77.8,145.3,237.7,14.3,0.319
Austin Riley,79.6,26.7,87.0,159.6,256.7,2.3,0.323
Alex Bregman,75.5,21.4,78.4,89.3,235.0,2.3,0.332
Wyatt Langford,83.5,22.7,71.2,143.2,232.8,19.8,0.342
Jordan Westburg,75.8,23.7,74.2,132.0,241.3,7.2,0.314
Patrick Bailey,44.6,9.2,42.1,129.7,140.9,1.7,0.276
Manny Machado,78.1,25.5,82.9,123.1,253.5,9.3,0.32
Gleyber Torres,75.6,17.1,69.3,109.7,220.4,7.8,0.343
Bo Bichette,73.7,15.9,71.5,97.7,241.8,6.3,0.331
Pete Alonso,88.6,36.2,98.0,152.2,281.5,2.8,0.332
Gabriel Moreno,52.0,9.8,50.9,73.3,159.7,4.0,0.343
Xander Bogaerts,69.5,13.2,59.5,101.9,199.7,17.6,0.327
Austin Wells,49.4,17.0,52.4,113.0,158.3,3.4,0.288
Hunter Goodman,71.6,29.2,88.8,147.2,253.7,2.4,0.306
Luke Keaschall,68.9,12.8,56.3,90.6,197.3,19.2,0.346
Trent Grisham,69.0,25.1,65.0,129.8,193.0,5.5,0.329
Brent Rooker,89.0,33.6,92.6,161.5,284.1,6.8,0.341
Jackson Chourio,84.5,23.4,87.1,125.6,268.3,24.7,0.323
Jose Altuve,77.0,21.6,72.1,104.3,233.8,11.9,0.328
CJ Abrams,76.7,18.2,66.9,117.6,227.8,30.3,0.309
Eugenio Suárez,72.8,32.6,90.1,171.9,239.2,2.7,0.305
J.P. Crawford,62.8,11.1,55.7,114.3,181.3,4.0,0.332
Randy Arozarena,87.7,22.9,72.8,172.1,233.0,25.2,0.33
Riley Greene,82.2,28.5,85.3,177.8,259.8,3.7,0.328
Carlos Correa,64.8,16.9,64.7,107.8,203.3,0.3,0.336
Pete Crow-Armstrong,85.7,22.8,68.4,149.2,242.4,32.7,0.298
Freddie Freeman,84.5,20.9,80.6,112.7,249.5,8.6,0.353
Yainer Diaz,59.7,17.4,66.5,92.5,210.8,1.5,0.301
Trevor Story,74.9,21.6,71.3,158.6,227.3,23.0,0.303
James Wood,85.8,24.8,83.0,189.1,255.1,17.0,0.348
Francisco Alvarez,49.6,16.9,52.7,113.0,154.3,0.9,0.301
Taylor Ward,80.0,26.7,80.0,153.5,241.0,4.7,0.329
Max Muncy,62.9,22.6,64.0,109.4,170.8,2.1,0.337
Maikel Garcia,82.0,12.9,65.3,92.8,229.9,26.0,0.327
Seiya Suzuki,81.9,24.7,79.8,155.5,240.9,10.0,0.333
Andy Pages,74.5,23.2,76.5,125.1,230.7,9.0,0.308
Dansby Swanson,76.4,20.7,73.3,162.8,224.6,15.2,0.302
Colson Montgomery,63.8,23.7,69.0,151.2,203.1,3.1,0.307
Matt Olson,86.5,29.7,93.7,159.4,262.8,1.0,0.341
Brendan Donovan,65.5,11.5,61.7,75.8,201.9,4.6,0.344
Ryan Jeffers,55.8,14.8,53.4,102.5,169.8,2.3,0.323
Jackson Holliday,71.7,14.8,58.3,125.8,199.6,14.6,0.327
Jung Hoo Lee,66.8,8.4,55.4,62.8,204.8,7.7,0.329
Brandon Nimmo,82.7,21.9,72.2,136.6,240.5,7.6,0.333
Kazuma Okamoto,64.3,24.5,71.2,111.4,201.8,1.1,0.32
Brandon Lowe,66.4,24.7,76.5,138.4,217.7,4.1,0.314
Kyle Teel,51.8,12.0,45.9,111.9,152.6,4.3,0.333
Bo Naylor,48.5,14.9,48.4,112.9,147.1,5.0,0.294
Mike Trout,69.2,27.3,72.8,156.0,208.9,3.3,0.352
Roman Anthony,76.4,17.5,68.9,146.2,222.2,10.0,0.351
Brice Turang,77.0,13.1,61.9,132.9,211.5,30.1,0.32
Drake Baldwin,57.8,15.7,62.3,91.7,184.5,0.3,0.32
Teoscar Hernández,77.0,26.0,80.8,143.6,241.9,6.3,0.314
Cody Bellinger,75.9,24.3,74.8,92.4,243.2,11.5,0.318
Marcus Semien,69.1,19.3,67.2,98.4,212.1,8.4,0.308
Ian Happ,80.0,20.9,74.5,151.2,225.6,8.2,0.336
Agustín Ramírez,59.2,17.4,63.4,99.9,193.5,9.5,0.307
Josh Naylor,73.4,22.9,79.0,87.9,235.6,14.8,0.328
Ben Rice,72.4,25.3,71.8,114.7,222.4,5.2,0.327
Isaac Paredes,60.9,21.3,61.2,79.5,181.7,1.0,0.34
Oneil Cruz,72.9,20.0,60.2,157.8,196.9,23.9,0.314
Otto Lopez,63.1,10.5,55.2,84.3,194.5,16.6,0.318
Iván Herrera,66.6,16.9,61.8,103.4,195.7,7.1,0.35
Dillon Dingler,43.2,11.9,47.5,106.7,148.2,1.5,0.293
Nico Hoerner,72.8,6.2,54.2,58.1,201.1,25.3,0.328
Daulton Varsho,69.8,26.1,70.6,138.9,211.7,9.7,0.291
Masyn Winn,66.3,12.1,59.6,108.6,207.7,12.1,0.304
Michael Harris II,72.1,18.1,67.0,111.0,222.2,18.2,0.302
Luis Robert Jr.,70.6,19.6,56.6,146.2,192.5,30.5,0.298
Sean Murphy,42.4,14.7,46.2,97.1,125.8,0.1,0.314
Tyler Soderstrom,74.7,24.4,75.6,140.0,236.1,5.5,0.322
Miguel Vargas,65.3,17.1,63.4,108.4,203.8,7.7,0.316
Jo Adell,70.4,29.4,76.0,153.3,230.2,9.9,0.294
Colton Cowser,64.8,20.3,61.3,163.4,186.8,11.0,0.306
Vinnie Pasquantino,75.0,26.3,90.9,90.0,259.0,0.8,0.327
George Springer,78.3,22.5,69.1,110.4,220.2,12.7,0.332
Danny Jansen,36.4,13.0,39.8,81.5,112.0,0.3,0.301
