Name,PA,R,HR,RBI,SO,TB,SB,OBP,zR,zHR,zRBI,zSO,zTB,zSB,zOBP,zTotal
Shohei Ohtani,671,124,48,118,158,342,23,0.385,0.82,0.65,0.7,-0.85,0.86,0.37,0.18,2.73
José Ramírez,658,95,29,91,76,290,33,0.348,0.63,0.4,0.54,-0.41,0.73,0.51,0.08,2.49
Aaron Judge,646,106,49,120,161,325,8,0.414,0.7,0.67,0.71,-0.87,0.82,0.12,0.26,2.43
Juan Soto,681,107,37,97,122,285,17,0.401,0.71,0.51,0.58,-0.65,0.72,0.27,0.23,2.36
Bobby Witt Jr.,668,102,27,92,115,304,35,0.341,0.67,0.37,0.55,-0.62,0.76,0.55,0.06,2.34
Kyle Tucker,622,97,30,88,88,266,18,0.37,0.64,0.4,0.53,-0.47,0.67,0.29,0.14,2.19
Corbin Carroll,650,105,26,80,139,276,36,0.345,0.7,0.36,0.48,-0.75,0.69,0.56,0.07,2.11
Ronald Acuña Jr.,627,99,28,82,137,257,28,0.378,0.66,0.38,0.49,-0.73,0.64,0.44,0.16,2.03
Vladimir Guerrero Jr.,672,94,27,92,90,286,6,0.376,0.63,0.37,0.55,-0.48,0.72,0.09,0.15,2.02
Yordan Alvarez,600,88,32,94,100,278,4,0.386,0.59,0.44,0.56,-0.54,0.7,0.06,0.18,1.99
Julio Rodríguez,663,95,30,92,149,292,25,0.338,0.63,0.41,0.55,-0.8,0.73,0.39,0.05,1.96
Francisco Lindor,674,94,29,86,126,273,24,0.332,0.62,0.4,0.51,-0.68,0.69,0.37,0.03,1.95
Fernando Tatis Jr.,643,95,27,82,129,264,23,0.35,0.63,0.37,0.49,-0.69,0.66,0.37,0.08,1.91
Junior Caminero,632,83,36,106,121,295,5,0.322,0.55,0.5,0.63,-0.65,0.74,0.08,0.01,1.86
Gunnar Henderson,658,97,27,83,142,278,20,0.346,0.64,0.37,0.49,-0.76,0.7,0.32,0.07,1.83
Ketel Marte,624,87,29,95,104,271,5,0.358,0.57,0.39,0.56,-0.56,0.68,0.07,0.1,1.83
Mookie Betts,629,87,22,81,72,250,9,0.346,0.57,0.31,0.48,-0.39,0.63,0.14,0.07,1.81
Kyle Schwarber,667,99,44,111,186,284,6,0.352,0.65,0.6,0.66,-1.0,0.71,0.09,0.09,1.81
Jackson Chourio,628,84,23,87,126,268,25,0.323,0.56,0.32,0.52,-0.67,0.67,0.38,0.01,1.79
