Name,PA,R,HR,RBI,SO,TB,SB,OBP,zR,zHR,zRBI,zSO,zTB,zSB,zOBP,zTotal
Shohei Ohtani,679,125,49,122,161,349,26,0.387,0.83,0.67,0.73,-0.86,0.88,0.41,0.17,2.81
Bobby Witt Jr.,679,108,32,99,116,324,38,0.348,0.71,0.44,0.59,-0.62,0.81,0.59,0.06,2.58
Aaron Judge,672,112,52,128,170,343,8,0.414,0.74,0.72,0.76,-0.91,0.86,0.13,0.24,2.53
José Ramírez,679,95,27,88,76,285,35,0.343,0.63,0.37,0.52,-0.41,0.72,0.55,0.04,2.43
Juan Soto,686,109,39,101,124,293,17,0.404,0.72,0.53,0.6,-0.67,0.74,0.26,0.21,2.39
Vladimir Guerrero Jr.,679,101,32,99,90,308,6,0.381,0.67,0.44,0.59,-0.48,0.77,0.09,0.15,2.23
Kyle Tucker,651,100,30,91,93,274,18,0.366,0.66,0.41,0.54,-0.5,0.69,0.28,0.11,2.2
Corbin Carroll,665,106,28,85,138,282,37,0.345,0.7,0.38,0.51,-0.74,0.71,0.58,0.05,2.19
Ronald Acuña Jr.,651,106,30,87,140,276,27,0.38,0.7,0.41,0.52,-0.75,0.69,0.42,0.15,2.14
Fernando Tatis Jr.,672,103,30,89,134,288,24,0.356,0.68,0.41,0.53,-0.72,0.72,0.37,0.08,2.08
Yordan Alvarez,625,93,36,100,108,293,4,0.38,0.61,0.49,0.6,-0.58,0.74,0.07,0.15,2.07
Julio Rodríguez,686,98,29,91,152,297,27,0.335,0.65,0.4,0.54,-0.81,0.75,0.41,0.02,1.96
Ketel Marte,637,89,30,99,105,280,5,0.36,0.59,0.41,0.59,-0.56,0.7,0.08,0.09,1.9
Francisco Lindor,686,94,28,85,128,271,24,0.331,0.63,0.38,0.51,-0.69,0.68,0.37,0.01,1.88
Junior Caminero,665,86,38,110,129,307,5,0.319,0.57,0.52,0.65,-0.69,0.77,0.08,-0.02,1.88
Bryce Harper,665,93,28,94,139,277,11,0.366,0.62,0.39,0.56,-0.74,0.69,0.17,0.11,1.79
Gunnar Henderson,672,97,25,82,142,276,21,0.344,0.64,0.35,0.49,-0.76,0.69,0.32,0.05,1.78
Mookie Betts,651,87,21,81,74,251,9,0.344,0.58,0.29,0.48,-0.4,0.63,0.13,0.05,1.76
Kyle Schwarber,686,99,43,111,191,284,6,0.352,0.66,0.58,0.66,-1.02,0.71,0.09,0.07,1.75
Corey Seager,625,83,32,96,119,272,3,0.358,0.55,0.43,0.57,-0.64,0.68,0.04,0.09,1.73
Trea Turner,644,88,18,76,116,258,26,0.333,0.58,0.24,0.45,-0.62,0.65,0.4,0.02,1.72
George Springer,625,90,29,83,123,259,13,0.342,0.59,0.39,0.49,-0.66,0.65,0.2,0.04,1.71
Brent Rooker,665,94,36,99,166,300,7,0.343,0.62,0.49,0.59,-0.89,0.75,0.11,0.04,1.7
Jackson Chourio,651,85,22,85,133,267,26,0.318,0.56,0.3,0.51,-0.71,0.67,0.4,-0.02,1.7
Elly De La Cruz,672,95,23,74,185,261,42,0.325,0.63,0.31,0.44,-0.99,0.66,0.65,-0.01,1.69
Pete Alonso,679,91,39,104,159,292,3,0.335,0.61,0.53,0.62,-0.85,0.73,0.04,0.02,1.69
Yandy Díaz,651,82,24,90,97,267,2,0.356,0.54,0.33,0.53,-0.52,0.67,0.03,0.08,1.67
Maikel Garcia,665,86,13,69,96,240,26,0.329,0.57,0.18,0.41,-0.51,0.6,0.4,0.01,1.66
Will Smith,625,88,28,88,122,259,5,0.355,0.58,0.39,0.53,-0.66,0.65,0.07,0.08,1.64
Zach Neto,665,90,28,79,166,265,28,0.318,0.59,0.38,0.47,-0.89,0.67,0.44,-0.03,1.63
Freddie Freeman,651,87,23,86,118,259,8,0.35,0.58,0.32,0.51,-0.63,0.65,0.13,0.06,1.62
Nico Hoerner,665,80,6,60,62,222,27,0.327,0.53,0.08,0.35,-0.33,0.56,0.43,0.0,1.62
Wyatt Langford,644,91,26,78,151,254,21,0.342,0.6,0.36,0.46,-0.81,0.64,0.32,0.04,1.61
Jazz Chisholm Jr.,625,90,28,73,169,242,33,0.312,0.6,0.38,0.44,-0.9,0.61,0.51,-0.04,1.59
Manny Machado,651,81,29,90,125,268,8,0.321,0.54,0.39,0.53,-0.67,0.67,0.13,-0.02,1.58
Pete Crow-Armstrong,644,91,23,69,160,251,36,0.296,0.6,0.31,0.41,-0.86,0.63,0.56,-0.09,1.58
Chandler Simpson,625,78,6,52,85,209,38,0.323,0.52,0.09,0.31,-0.46,0.52,0.6,-0.01,1.57
Cal Raleigh,637,83,40,106,176,267,7,0.322,0.55,0.54,0.63,-0.94,0.67,0.12,-0.01,1.55
Alex Bregman,679,81,24,85,95,252,2,0.333,0.54,0.32,0.51,-0.51,0.63,0.03,0.02,1.54
Byron Buxton,625,88,31,88,169,271,16,0.32,0.59,0.42,0.52,-0.91,0.68,0.25,-0.02,1.54
Rafael Devers,686,89,33,96,164,278,2,0.35,0.59,0.46,0.57,-0.88,0.7,0.03,0.06,1.53
Shea Langeliers,625,83,32,89,143,273,7,0.317,0.55,0.44,0.53,-0.77,0.69,0.11,-0.03,1.52
Jeremy Peña,651,84,18,72,117,251,18,0.325,0.56,0.25,0.43,-0.63,0.63,0.28,-0.01,1.51
Oneil Cruz,625,89,28,81,182,252,26,0.323,0.59,0.38,0.48,-0.98,0.63,0.41,-0.01,1.51
Jarren Duran,625,84,19,72,143,247,25,0.33,0.56,0.27,0.43,-0.77,0.62,0.38,0.01,1.5
Vinnie Pasquantino,644,75,24,88,92,255,1,0.322,0.5,0.33,0.53,-0.5,0.64,0.01,-0.01,1.5
Ben Rice,625,83,29,82,131,256,6,0.332,0.55,0.39,0.49,-0.7,0.64,0.1,0.01,1.48
Alejandro Kirk,625,77,23,79,90,241,2,0.337,0.51,0.31,0.47,-0.49,0.61,0.04,0.03,1.47
Cody Bellinger,637,77,22,74,99,242,12,0.312,0.51,0.3,0.44,-0.53,0.61,0.19,-0.04,1.47
Josh Naylor,625,71,21,76,91,227,13,0.318,0.47,0.28,0.45,-0.49,0.57,0.21,-0.02,1.47
Tyler Freeman,625,80,16,69,109,232,18,0.341,0.53,0.22,0.41,-0.59,0.58,0.28,0.04,1.47
Jackson Merrill,630,79,23,82,125,265,9,0.322,0.53,0.32,0.49,-0.67,0.66,0.15,-0.01,1.46
Geraldo Perdomo,686,85,12,58,94,218,19,0.344,0.57,0.16,0.35,-0.5,0.55,0.3,0.05,1.46
Seiya Suzuki,630,86,28,87,159,257,10,0.337,0.57,0.39,0.52,-0.85,0.65,0.16,0.03,1.46
Bo Bichette,658,81,19,79,106,264,6,0.328,0.53,0.26,0.47,-0.57,0.66,0.1,0.0,1.45
Randy Arozarena,679,90,25,77,176,243,25,0.328,0.6,0.34,0.46,-0.95,0.61,0.38,0.0,1.45
CJ Abrams,630,77,17,66,122,225,31,0.304,0.51,0.23,0.39,-0.65,0.56,0.48,-0.06,1.45
Bryson Stott,625,79,15,64,106,221,25,0.319,0.52,0.2,0.38,-0.57,0.56,0.38,-0.02,1.45
Nick Kurtz,625,91,36,95,193,274,3,0.347,0.6,0.5,0.57,-1.04,0.69,0.05,0.06,1.43
Luke Keaschall,625,80,13,63,109,224,22,0.341,0.53,0.18,0.37,-0.59,0.56,0.34,0.04,1.43
Cedric Mullins,625,81,23,71,138,230,24,0.311,0.54,0.31,0.42,-0.74,0.58,0.37,-0.05,1.43
