Name,Type,GS,G,IP,IP_wk,L_wk,SV_wk,HLD_wk,K_wk,QS_wk,ER_wk,WH_wk,ERA,WHIP,WAR
Tarik Skubal,SP,29.6,,189.5,7.03,0.259,0,0,8.47,0.672,2.173,6.858,2.782,0.975,5.8
Paul Skenes,SP,30.1,,186.4,6.8,0.299,0,0,8.13,0.638,2.109,6.985,2.79,1.027,5.74
Garrett Crochet,SP,29.2,,179.9,6.75,0.309,0,0,8.14,0.574,2.349,7.253,3.134,1.075,4.98
Logan Webb,SP,30.2,,195.1,7.12,0.369,0,0,6.69,0.626,2.645,8.411,3.345,1.182,4.79
Cristopher Sánchez,SP,29.1,,185.6,7.01,0.293,0,0,6.74,0.619,2.503,8.105,3.215,1.156,4.45
Chris Sale,SP,25.7,,158.6,6.7,0.298,0,0,7.88,0.576,2.51,7.485,3.37,1.116,3.98
Cole Ragans,SP,25.8,,151.2,6.43,0.344,0,0,7.49,0.52,2.49,7.566,3.485,1.177,3.7
Yoshinobu Yamamoto,SP,26.4,,158.1,6.54,0.291,0,0,6.83,0.54,2.492,7.512,3.429,1.149,3.63
Max Fried,SP,28.9,,181.1,6.87,0.311,0,0,6.47,0.593,2.55,8.098,3.342,1.179,3.61
Dylan Cease,SP,29.4,,172.7,6.44,0.361,0,0,7.44,0.471,2.718,7.863,3.796,1.22,3.59
Sonny Gray,SP,29.0,,175.1,6.62,0.344,0,0,6.86,0.517,2.81,7.843,3.821,1.185,3.58
Hunter Brown,SP,29.4,,178.2,6.64,0.336,0,0,7.12,0.574,2.657,7.833,3.6,1.179,3.55
Jesús Luzardo,SP,28.3,,170.1,6.58,0.343,0,0,7.11,0.52,2.676,7.766,3.658,1.18,3.53
Hunter Greene,SP,28.3,,170.7,6.6,0.344,0,0,7.68,0.538,2.76,7.577,3.766,1.149,3.51
Jacob deGrom,SP,26.0,,155.4,6.52,0.313,0,0,7.1,0.493,2.567,7.09,3.545,1.088,3.44
Bryan Woo,SP,29.3,,182.6,6.83,0.308,0,0,6.84,0.566,2.621,7.131,3.455,1.044,3.39
Logan Gilbert,SP,28.1,,166.3,6.49,0.341,0,0,7.07,0.513,2.535,6.966,3.516,1.073,3.3
Framber Valdez,SP,26.7,,163.6,6.67,0.37,0,0,6.26,0.57,2.669,8.352,3.602,1.252,3.23
