Week,Category,Skrey's SQUAD,Shmoulie,My Team Snells Like Shit,The Bronx Boofers,The Murk Ma$ter,UNKle Jerik,vves11,wes11,Acuña Matata,Beasts of the East,Colson Anthony Teel Jr.,Cleveland Steamers,Derty's Rolling Crew,Put Up or Shut Up,North Shore Beefs,Tardy Plumbers
1,OBP,0.32,0.344,0.32,0.299,0.322,0.329,0.315,0.339,0.336,0.323,0.306,0.319,0.317,0.331,0.328,0.298
1,R,53.0,45.0,56.0,51.0,43.0,53.0,50.0,51.0,56.0,55.0,36.0,48.0,44.0,61.0,47.0,43.0
1,HR,17.0,16.0,22.0,8.0,12.0,22.0,13.0,14.0,12.0,16.0,9.0,14.0,17.0,11.0,16.0,6.0
1,RBI,41.0,50.0,63.0,34.0,51.0,56.0,50.0,38.0,36.0,55.0,36.0,47.0,60.0,37.0,50.0,35.0
1,SB,3.0,10.0,11.0,9.0,8.0,15.0,13.0,7.0,10.0,13.0,11.0,12.0,3.0,10.0,9.0,4.0
1,K_B,89.0,88.0,71.0,103.0,75.0,87.0,95.0,81.0,85.0,97.0,64.0,87.0,74.0,86.0,89.0,87.0
1,TB,159.0,145.0,171.0,135.0,132.0,172.0,146.0,141.0,139.0,161.0,121.0,128.0,145.0,146.0,149.0,106.0
1,ERA,4.18,3.33,3.58,3.74,2.99,4.23,4.19,4.93,1.38,3.15,4.67,3.84,3.12,3.51,2.91,2.32
1,WHIP,1.32,0.99,1.41,1.19,1.2,1.06,1.23,1.38,0.85,1.4,1.33,1.05,1.17,1.18,1.28,0.93
1,L,4.0,3.0,8.0,5.0,2.0,6.0,2.0,9.0,2.0,3.0,8.0,4.0,4.0,7.0,2.0,1.0
1,SV,3.0,7.0,5.0,3.0,7.0,4.0,2.0,4.0,1.0,0.0,4.0,8.0,4.0,2.0,6.0,1.0
1,K_P,93.0,68.0,77.0,62.0,73.0,79.0,65.0,97.0,55.0,85.0,99.0,96.0,95.0,97.0,61.0,66.0
1,HLD,3.0,6.0,5.0,5.0,4.0,3.0,6.0,2.0,7.0,4.0,4.0,2.0,4.0,0.0,4.0,9.0
1,IP,103.1,73.0,78.0,67.1,81.1,76.2,66.2,107.2,58.2,71.1,79.0,75.0,98.0,92.1,68.0,50.1
1,H/AB,94/355,77/306,89/352,83/349,78/307,91/342,87/352,81/329,86/349,93/399,75/315,74/337,79/327,91/355,84/343,73/340
1,QS,4.0,1.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,4.0,6.0,3.0,3.0
2,OBP,0.3,0.344,0.353,0.366,0.234,0.319,0.285,0.291,0.316,0.344,0.35,0.307,0.307,0.291,0.342,0.335
2,R,20.0,20.0,30.0,27.0,7.0,30.0,30.0,24.0,30.0,39.0,31.0,25.0,26.0,27.0,28.0,24.0
2,HR,6.0,5.0,9.0,12.0,1.0,7.0,10.0,7.0,11.0,8.0,7.0,9.0,11.0,2.0,7.0,5.0
2,RBI,21.0,16.0,31.0,38.0,14.0,23.0,35.0,22.0,31.0,31.0,29.0,25.0,26.0,21.0,24.0,21.0
2,SB,7.0,3.0,1.0,8.0,1.0,8.0,8.0,2.0,6.0,12.0,9.0,7.0,6.0,8.0,3.0,6.0
2,K_B,53.0,45.0,34.0,54.0,39.0,52.0,56.0,54.0,49.0,59.0,39.0,53.0,54.0,57.0,42.0,35.0
2,TB,67.0,69.0,104.0,99.0,33.0,74.0,90.0,65.0,103.0,97.0,101.0,89.0,88.0,66.0,76.0,65.0
2,ERA,3.65,0.92,3.81,1.09,4.74,3.92,3.4,2.86,2.77,2.15,3.29,4.29,2.67,4.55,3.77,4.28
2,WHIP,1.26,0.79,1.11,0.79,1.34,1.24,1.24,1.39,1.36,1.11,1.25,1.31,0.89,1.35,1.06,1.39
2,L,2.0,2.0,5.0,1.0,4.0,3.0,2.0,3.0,5.0,1.0,3.0,8.0,3.0,5.0,2.0,8.0
2,SV,2.0,2.0,4.0,3.0,3.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,0.0,1.0
2,K_P,41.0,45.0,57.0,43.0,45.0,63.0,35.0,44.0,43.0,54.0,56.0,81.0,63.0,68.0,45.0,49.0
2,HLD,2.0,3.0,1.0,2.0,2.0,2.0,0.0,3.0,6.0,4.0,2.0,0.0,2.0,1.0,4.0,5.0
2,IP,44.1,39.1,56.2,49.2,49.1,57.1,39.2,44.0,48.2,46.0,65.2,79.2,57.1,59.1,45.1,61.0
2,H/AB,42/213,45/184,63/213,51/192,27/158,42/197,49/228,37/210,55/208,58/225,63/212,47/194,44/210,48/219,44/175,44/170
2,QS,3.0,3.0,4.0,5.0,2.0,1.0,2.0,2.0,3.0,4.0,5.0,2.0,5.0,3.0,3.0,3.0
3,OBP,0.359,0.396,0.35,0.252,0.369,0.282,0.332,0.338,0.313,0.347,0.3,0.31,0.27,0.346,0.275,0.373
3,R,27.0,43.0,31.0,25.0,34.0,26.0,34.0,29.0,28.0,39.0,35.0,28.0,17.0,36.0,29.0,25.0
