Week,Team,ERA,H/AB,HLD,HR,IP,K,K.1,L,OBP,QS,R,RBI,SB,SV,TB,WHIP
1,Acuña Matata,1.38,86/349,7.0,12.0,58.2,85.0,55.0,2.0,0.336,4.0,56.0,36.0,10.0,1.0,139.0,0.85
1,Beasts of the East,3.15,93/399,4.0,16.0,71.1,97.0,85.0,3.0,0.323,3.0,55.0,55.0,13.0,0.0,161.0,1.4
1,Cleveland Steamers,3.84,74/337,2.0,14.0,75.0,87.0,96.0,4.0,0.319,3.0,48.0,47.0,12.0,8.0,128.0,1.05
1,Colson Anthony Teel Jr.,4.67,75/315,4.0,9.0,79.0,64.0,99.0,8.0,0.306,2.0,36.0,36.0,11.0,4.0,121.0,1.33
1,Derty's Rolling Crew,3.12,79/327,4.0,17.0,98.0,74.0,95.0,4.0,0.317,4.0,44.0,60.0,3.0,4.0,145.0,1.17
1,My Team Snells Like Shit,3.58,89/352,5.0,22.0,78.0,71.0,77.0,8.0,0.32,3.0,56.0,63.0,11.0,5.0,171.0,1.41
1,North Shore Beefs,2.91,84/343,4.0,16.0,68.0,89.0,61.0,2.0,0.328,3.0,47.0,50.0,9.0,6.0,149.0,1.28
1,Put Up or Shut Up,3.51,91/355,0.0,11.0,92.1,86.0,97.0,7.0,0.331,6.0,61.0,37.0,10.0,2.0,146.0,1.18
1,Shmoulie,3.33,77/306,6.0,16.0,73.0,88.0,68.0,3.0,0.344,1.0,45.0,50.0,10.0,7.0,145.0,0.99
1,Skrey's SQUAD,4.18,94/355,3.0,17.0,103.1,89.0,93.0,4.0,0.32,4.0,53.0,41.0,3.0,3.0,159.0,1.32
1,Tardy Plumbers,2.32,73/340,9.0,6.0,50.1,87.0,66.0,1.0,0.298,3.0,43.0,35.0,4.0,1.0,106.0,0.93
1,The Bronx Boofers,3.74,83/349,5.0,8.0,67.1,103.0,62.0,5.0,0.299,3.0,51.0,34.0,9.0,3.0,135.0,1.19
1,The Murk Ma$ter,2.99,78/307,4.0,12.0,81.1,75.0,73.0,2.0,0.322,4.0,43.0,51.0,8.0,7.0,132.0,1.2
1,UNKle Jerik,4.23,91/342,3.0,22.0,76.2,87.0,79.0,6.0,0.329,3.0,53.0,56.0,15.0,4.0,172.0,1.06
1,vves11,4.19,87/352,6.0,13.0,66.2,95.0,65.0,2.0,0.315,4.0,50.0,50.0,13.0,2.0,146.0,1.23
1,wes11,4.93,81/329,2.0,14.0,107.2,81.0,97.0,9.0,0.339,5.0,51.0,38.0,7.0,4.0,141.0,1.38
2,Acuña Matata,2.77,55/208,6.0,11.0,48.2,49.0,43.0,5.0,0.316,3.0,30.0,31.0,6.0,2.0,103.0,1.36
2,Beasts of the East,2.15,58/225,4.0,8.0,46.0,59.0,54.0,1.0,0.344,4.0,39.0,31.0,12.0,2.0,97.0,1.11
2,Cleveland Steamers,4.29,47/194,0.0,9.0,79.2,53.0,81.0,8.0,0.307,2.0,25.0,25.0,7.0,2.0,89.0,1.31
2,Colson Anthony Teel Jr.,3.29,63/212,2.0,7.0,65.2,39.0,56.0,3.0,0.35,5.0,31.0,29.0,9.0,2.0,101.0,1.25
2,Derty's Rolling Crew,2.67,44/210,2.0,11.0,57.1,54.0,63.0,3.0,0.307,5.0,26.0,26.0,6.0,5.0,88.0,0.89
2,My Team Snells Like Shit,3.81,63/213,1.0,9.0,56.2,34.0,57.0,5.0,0.353,4.0,30.0,31.0,1.0,4.0,104.0,1.11
2,North Shore Beefs,3.77,44/175,4.0,7.0,45.1,42.0,45.0,2.0,0.342,3.0,28.0,24.0,3.0,0.0,76.0,1.06
2,Put Up or Shut Up,4.55,48/219,1.0,2.0,59.1,57.0,68.0,5.0,0.291,3.0,27.0,21.0,8.0,2.0,66.0,1.35
2,Shmoulie,0.92,45/184,3.0,5.0,39.1,45.0,45.0,2.0,0.344,3.0,20.0,16.0,3.0,2.0,69.0,0.79
2,Skrey's SQUAD,3.65,42/213,2.0,6.0,44.1,53.0,41.0,2.0,0.3,3.0,20.0,21.0,7.0,2.0,67.0,1.26
2,Tardy Plumbers,4.28,44/170,5.0,5.0,61.0,35.0,49.0,8.0,0.335,3.0,24.0,21.0,6.0,1.0,65.0,1.39
2,The Bronx Boofers,1.09,51/192,2.0,12.0,49.2,54.0,43.0,1.0,0.366,5.0,27.0,38.0,8.0,3.0,99.0,0.79
2,The Murk Ma$ter,4.74,27/158,2.0,1.0,49.1,39.0,45.0,4.0,0.234,2.0,7.0,14.0,1.0,3.0,33.0,1.34
2,UNKle Jerik,3.92,42/197,2.0,7.0,57.1,52.0,63.0,3.0,0.319,1.0,30.0,23.0,8.0,2.0,74.0,1.24
2,vves11,3.4,49/228,0.0,10.0,39.2,56.0,35.0,2.0,0.285,2.0,30.0,35.0,8.0,0.0,90.0,1.24
2,wes11,2.86,37/210,3.0,7.0,44.0,54.0,44.0,3.0,0.291,2.0,24.0,22.0,2.0,1.0,65.0,1.39
3,Acuña Matata,6.17,53/211,1.0,5.0,65.2,67.0,65.0,8.0,0.313,1.0,28.0,23.0,4.0,1.0,78.0,1.71
